attr1,attr2,attr3,attr4,attr5,attr6,class
,-0.25786243,,0.73961638,0.66082943,,
,-0.3949941,-0.14081588,,-0.37786573,,-1
0.44598286,0.078331343,0.30999972,0.25564626,,,
-0.087912169,-0.35960528,,,,,-1
,5.0371895,0.17475504,1.1826579,,0.48641652,
,,-0.32114211,,-0.37786573,0.41328597,
-0.25746449,-0.32421646,2.3386699,,,1.1933451,
0.08197892,,,,,1.1598269,
,-0.35075807,,,-0.37786573,,
0.20139389,,,,1.7228357,,
,0.71975367,-0.18589744,0.78138886,,,-1
,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,
0.60418652,,-0.27606055,1.2413082,-0.37786573,1.4706317,-1
,,0.35508128,1.416415,,,-1
-0.78441482,,,-0.85955255,,-0.94572324,
,-0.47019533,-0.59163147,,-0.37786573,,-1
-0.37027353,,0.89605999,,0.49458948,,
,,,-0.85955255,-0.37786573,,-1
,,,0.32695484,0.20645998,,
0.5994438,,-0.14081588,,-0.37786573,,-1
,,-0.59163147,,,,
,-0.33306367,-0.0055711987,-0.85955255,,,-1
-0.25289115,-0.38172329,2.2935883,,,,-1
,,1.301794,-0.85955255,-0.37786573,-0.94572324,-1
,,-0.59163147,,,,
-0.6148625,,5.3140528,0.42484592,,,-1
,,-0.59163147,,-0.37786573,,-1
-0.047768413,,-0.0055711987,0.3598665,,0.87339896,-1
,,,0.57716782,0.53949962,0.56564127,-1
-0.014569356,,,0.39109038,2.1703896,0.77589157,
,,,,1.0299552,,-1
,,-0.050652758,-0.85955255,-0.37786573,,
1.8811645,3.696838,,0.68265389,,0.19998856,-1
,,-0.59163147,-0.85955255,-0.37786573,-0.94572324,
-0.22138593,,,,0.64769223,,-1
,,0.76081531,,,,
0.5806423,,,-0.85955255,,-0.94572324,-1
-0.12212752,-0.43480652,,-0.85955255,-0.37786573,,
-0.78441482,-0.47019533,,,-0.37786573,-0.94572324,
-0.78441482,,-0.59163147,,-0.37786573,-0.94572324,-1
-0.78441482,,-0.59163147,,-0.37786573,-0.94572324,
,,,1.265359,-0.37786573,1.4279722,
,,,0.54678783,,,-1
,-0.35960528,,0.2446757,,0.83073948,
0.20241019,,-0.14081588,,-0.37786573,,
-0.78441482,,-0.59163147,-0.85955255,,-0.94572324,
,,,,-0.37786573,,
,-0.27555684,,0.68813917,2.857146,0.8429279,-1
,-0.35075807,,0.088978256,,1.0166129,-1
,,-0.18589744,-0.85955255,,-0.94572324,-1
0.96006008,0.88785055,-0.095734317,,0.91020582,,
,,,,-0.37786573,,
-0.18327476,-0.43038291,,0.78645219,,,
0.54964522,,,0.53244172,,,
,-0.34633447,-0.14081588,0.35564706,1.4319405,1.2177219,
-0.78441482,,-0.59163147,-0.85955255,,,-1
,,,0.88392133,-0.37786573,0.76675026,
,3.6349075,0.35508128,-0.85955255,,,-1
,,-0.50146835,3.6915387,,1.4035954,
0.33232691,,0.67065219,1.0117705,-0.060136364,1.3457004,-1
,3.5198939,,-0.85955255,-0.37786573,-0.94572324,
,-0.43480652,,0.70501694,0.054246208,,-1
0.079438176,-0.28882764,-0.36622367,1.3910984,-0.37786573,1.4401607,
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
,3.9799485,,1.4286514,,,
,,0.039510361,,,,
-0.029475055,,,0.69362445,,0.98614188,-1
0.57149562,-0.0012934972,-0.36622367,,1.8095939,0.9434824,
0.89383135,,,,-0.37786573,,-1
,0.60474001,,,,,-1
,1.2151971,,,0.40108156,0.94043529,-1
,,-0.59163147,,,-0.94572324,
,-0.47019533,,-0.85955255,,,-1
-0.37298366,-0.45250093,,,,,
,,,-0.85955255,,-0.94572324,-1
0.13330195,,,,,1.0988848,
-0.17649945,,,-0.85955255,,-0.94572324,-1
,,-0.230979,0.073366316,-0.37786573,1.0105187,
0.24949865,,0.76081531,,-0.37786573,0.9434824,-1
,,,0.75818193,-0.37786573,0.78808,
-0.17870143,,0.58048907,,,1.3944541,-1
,,-0.36622367,0.10121464,,0.55040574,-1
-0.78441482,-0.47019533,,,,-0.94572324,-1
,-0.28440404,,1.1923626,0.96716663,0.94957661,-1
,,0.039510361,,0.68921106,,
,-0.45250093,,-0.85955255,-0.37786573,-0.94572324,-1
,,0.08459192,,,,
-0.19242144,,0.12967348,,,-0.94572324,-1
,-0.47019533,,,-0.37786573,,-1
0.98089418,,,0.8159883,,,-1
-0.78441482,,-0.59163147,,-0.37786573,,
,-0.47019533,-0.59163147,-0.85955255,-0.37786573,,
0.37653585,,,,-0.37786573,,
,-0.47019533,-0.59163147,,,,-1
,,,,-0.37786573,,-1
-0.099768975,,,1.3446845,-0.37786573,,-1
,-0.094189144,1.0763862,1.825701,,0.71799656,-1
-0.78441482,,,,-0.37786573,-0.94572324,
,-0.4082649,-0.095734317,,-0.37786573,,
,-0.44365372,0.40016284,,,,
,-0.37287609,0.44524439,0.54003672,,0.7911271,-1
-0.081136852,,,0.79489108,-0.37786573,,
,,0.039510361,,,-0.94572324,
,,-0.59163147,,-0.37786573,-0.94572324,
1.000712,,,,-0.37786573,0.84902211,-1
,-0.45250093,,0.11218519,1.2351129,,-1
-0.78441482,-0.47019533,-0.59163147,,-0.37786573,-0.94572324,-1
0.47054338,0.51626796,,1.6349822,,1.0988848,-1
,,,-0.85955255,-0.37786573,-0.94572324,-1
,,-0.59163147,,-0.37786573,,-1
-0.78441482,,-0.59163147,,-0.37786573,,
-0.21935333,,1.9329359,,,1.3944541,
0.072324092,-0.28440404,-0.32114211,1.0109266,-0.37786573,,
0.84098388,2.8032703,-0.45638679,1.7075566,-0.37786573,,
0.74155609,1.838925,,,-0.37786573,,
-0.78441482,-0.47019533,-0.59163147,-0.85955255,,-0.94572324,
,-0.38172329,2.2935883,0.65058613,-0.37786573,0.73323209,-1
,,-0.59163147,-0.85955255,-0.37786573,,-1
,-0.47019533,-0.59163147,,,,-1
-0.78441482,,,,-0.37786573,,
-0.78441482,,-0.59163147,,-0.37786573,-0.94572324,-1
,-0.36845248,,,-0.37786573,0.96481214,-1
-0.78441482,,,-0.85955255,-0.37786573,-0.94572324,
,-0.45250093,,-0.85955255,-0.37786573,-0.94572324,-1
,,,0.80164219,-0.37786573,,-1
0.046916651,0.12256737,,0.29952846,-0.37786573,0.88863449,-1
,,1.2567125,-0.25448441,,0.83073948,
-0.78441482,-0.47019533,,-0.85955255,-0.37786573,,-1
,-0.080918338,0.2198366,,-0.37786573,1.3487475,-1
,,-0.59163147,,-0.37786573,,
-0.28134749,-0.44365372,0.26491816,,,-0.94572324,-1
-0.18666242,-0.3994177,1.0313047,0.56577532,,1.0653666,-1
,,-0.36622367,,-0.37786573,1.3213235,-1
,-0.33306367,,-0.85955255,,,
-0.78441482,,,-0.85955255,,,-1
0.063685562,,4.8632372,-0.85955255,,,-1
-0.78441482,-0.47019533,-0.59163147,,,-0.94572324,
,,,0.37421261,,0.98309477,
,-0.24901522,,0.6417253,-0.37786573,,
-0.105528,,0.26491816,,0.57733081,1.421878,
0.46105794,0.55165678,-0.14081588,,-0.37786573,,
0.1775109,-0.15169597,,,,1.0897435,-1
0.85826094,,-0.36622367,1.3729548,,,
,,,1.0919399,,0.87339896,-1
4.6278783,,,,,,-1
-0.037605436,,,0.2712582,-0.37786573,1.0440369,-1
-0.78441482,-0.47019533,,-0.85955255,-0.37786573,-0.94572324,
,-0.35518168,,,-0.37786573,-0.94572324,-1
,-0.47019533,,,-0.37786573,-0.94572324,-1
,,,,-0.37786573,,
,0.25969903,,,-0.37786573,,
-0.13720261,-0.38614689,-0.095734317,,,,
,-0.47019533,,,,,-1
2.1296493,,,-0.85955255,,-0.94572324,
-0.36620834,-0.43038291,,,,,-1
,3.5375883,-0.41130523,1.3936301,-0.37786573,0.67228997,-1
-0.17683821,-0.35960528,,-0.85955255,-0.37786573,,-1
,,0.2198366,0.66915168,0.54753339,,-1
,-0.47019533,,,-0.37786573,-0.94572324,-1
,,,,,,-1
9.2864173,,,-0.85955255,-0.37786573,-0.94572324,-1
,-0.43923012,,0.40290482,,0.95567082,
-0.78441482,-0.47019533,,,-0.37786573,-0.94572324,
,,,-0.85955255,,-0.94572324,-1
,-0.30209845,-0.18589744,-0.85955255,-0.37786573,,
,,,0.40206093,0.48128764,,
,,1.5272018,0.20248127,-0.37786573,,
,,-0.41130523,,,-0.94572324,-1
-0.78441482,,-0.59163147,,,,-1
-0.34147843,-0.45250093,,,,-0.94572324,-1
0.19698994,-0.30209845,0.26491816,-0.85955255,,-0.94572324,
-0.78441482,-0.47019533,,,,,
,-0.44807732,0.2198366,0.60290642,,,
-0.0089797193,-0.23574442,0.35508128,1.1269612,,0.83683369,
,,-0.59163147,-0.85955255,,-0.94572324,
-0.009826634,,0.44524439,,-0.37786573,0.86730475,
,,,,-0.37786573,,-1
-0.10518923,-0.41268851,-0.14081588,,-0.37786573,,-1
0.44903175,0.22431022,0.30999972,,0.59856764,,-1
,,-0.59163147,,-0.37786573,-0.94572324,-1
1.0461066,-0.4038413,-0.230979,-0.85955255,,-0.94572324,-1
,,,,4.4020022,0.33406122,
,,,1.2396204,,,
-0.43108201,,0.53540751,,,,-1
,-0.032258713,-0.14081588,0.02568661,,,-1
-0.051156071,-0.33306367,,,,1.3121822,-1
0.69548393,1.8079598,,-0.85955255,,-0.94572324,
,,,,,0.8916816,-1
,-0.44365372,-0.27606055,-0.85955255,,,
,-0.45250093,-0.54654991,-0.85955255,,-0.94572324,
,0.10487296,-0.050652758,,,,
-0.4778317,-0.27998044,6.7566627,-0.0076469907,-0.37786573,1.132403,
,,-0.59163147,,,,-1
-0.78441482,,,-0.85955255,-0.37786573,,
-0.78441482,-0.47019533,,,,-0.94572324,-1
-0.78441482,,,,-0.37786573,-0.94572324,-1
,,,,-0.37786573,-0.94572324,
,,-0.14081588,0.62822308,-0.37786573,,-1
,-0.13400156,-0.230979,1.0054413,,1.0653666,
-0.78441482,-0.47019533,,-0.85955255,-0.37786573,,
-0.34757622,,1.6624465,0.21471766,-0.023753882,1.0531782,
,-0.47019533,,-0.85955255,-0.37786573,-0.94572324,
1.1357102,,,-0.85955255,-0.37786573,-0.94572324,
,-0.33306367,1.7526096,0.80290802,,0.97395345,-1
,-0.45250093,,,,0.81550395,-1
,,,2.3425828,2.1536965,,
1.3738626,4.8779398,-0.41130523,-0.85955255,-0.37786573,-0.94572324,
,-0.4082649,-0.14081588,,2.5397459,0.97090635,
,-0.42595931,1.5272018,1.7548144,0.61140852,0.75760894,-1
,-0.47019533,,,,-0.94572324,-1
,-0.43038291,0.35508128,,,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,,-0.37786573,,
,,,,0.3063554,,-1
,,,-0.85955255,,-0.94572324,-1
-0.23764669,-0.42153571,1.3468756,1.1337124,-0.37786573,0.92215265,-1
,-0.43480652,0.039510361,,,1.0927906,
,3.6614492,,0.32189151,1.4265737,0.10248118,-1
,,,0.037079106,,,
0.39313538,0.79495491,,,0.9433287,0.91910555,
,-0.45250093,-0.36622367,,-0.37786573,,-1
-0.78441482,,-0.59163147,,,,
,,,,,0.3767207,-1
0.2281564,,0.12967348,0.78645219,-0.37786573,1.0318485,
0.32995554,-0.14727237,,0.83117829,-0.062572837,1.0988848,-1
,-0.42595931,,,-0.37786573,,
-0.1412678,-0.42153571,,,,,-1
0.22459936,,,0.9455252,,,
,-0.45250093,-0.095734317,-0.85955255,,-0.94572324,-1
1.1839843,2.4449585,,0.81008108,0.85406815,,
,,,-0.85955255,,,
,,,0.98434407,-0.37786573,1.0623195,-1
,-0.47019533,,,-0.37786573,-0.94572324,
-0.78441482,-0.47019533,,,,-0.94572324,-1
0.6639787,0.21103941,-0.14081588,,,-0.94572324,-1
,-0.25343882,,,-0.37786573,0.84597501,
,-0.2136264,,,-0.37786573,,-1
-0.44344696,-0.45250093,0.44524439,-0.85955255,-0.37786573,-0.94572324,
,,,-0.85955255,-0.37786573,-0.94572324,-1
0.48748168,,0.17475504,,0.13379379,,
,,,0.35691289,-0.37786573,,-1
-0.78441482,-0.47019533,,,,,
1.2066816,,,0.96071519,-0.37786573,0.37062649,
,-0.47019533,-0.59163147,,-0.37786573,-0.94572324,-1
-0.78441482,,-0.59163147,,-0.37786573,-0.94572324,
,,-0.27606055,1.1991137,-0.37786573,,-1
-0.78441482,-0.47019533,,-0.85955255,,,-1
,-0.47019533,-0.59163147,-0.85955255,-0.37786573,,-1
-0.78441482,,-0.59163147,-0.85955255,,-0.94572324,-1
,,,,,1.3975012,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,,-0.94572324,-1
0.078760644,,0.30999972,,,0.80331553,-1
,,,,,-0.94572324,
,,-0.59163147,-0.85955255,-0.37786573,,
-0.78441482,-0.47019533,,,-0.37786573,-0.94572324,-1
,,0.80589687,,-0.37786573,0.92824687,
,-0.47019533,,-0.85955255,,-0.94572324,
,-0.47019533,,-0.85955255,,,
0.32893925,,,,,,-1
0.91957756,0.038518923,,0.33117429,0.81541382,1.1598269,
,-0.45250093,,-0.85955255,-0.37786573,-0.94572324,
1.5058119,5.0416131,,1.1699996,,,-1
-0.11077887,-0.16496678,0.53540751,0.85818273,,,-1
1.0633837,4.931023,,,-0.37786573,,-1
-0.78441482,,,-0.85955255,-0.37786573,-0.94572324,-1
,,,1.0282263,,0.9952832,
0.3860213,-0.25786243,-0.050652758,-0.85955255,,,-1
,,-0.14081588,-0.85955255,,,-1
0.13770591,,-0.0055711987,,,-0.94572324,
,-0.44807732,1.6624465,0.88054577,,0.54431153,
,-0.24459162,,,,1.1263087,-1
-0.78441482,-0.47019533,,,,,-1
0.27795498,,,0.50712506,,0.8916816,
,-0.47019533,,,-0.37786573,-0.94572324,
,-0.47019533,,,,,-1
,-0.42153571,0.12967348,0.63624002,-0.37786573,1.2908525,-1
0.027606996,-0.25786243,0.2198366,0.50543729,-0.37786573,,
,0.10929656,,,,1.1963922,-1
0.011346234,-0.17381398,-0.050652758,1.1927846,,1.2573343,
0.960907,,,-0.85955255,,,
,-0.45250093,-0.095734317,,,,
-0.14431669,-0.42595931,-0.14081588,-0.85955255,-0.37786573,-0.94572324,-1
2.2778594,,,-0.85955255,,,-1
-0.78441482,-0.47019533,,,,-0.94572324,
0.22459936,,,2.0809773,2.7864883,,
,,,,-0.37786573,-0.94572324,-1
-0.78441482,,,,-0.37786573,,
,,0.98622311,1.0991129,,0.51993468,
,-0.22247361,0.71573375,0.4417237,,,-1
,,,,,-0.94572324,
0.048949246,,-0.18589744,,,,-1
,,0.12967348,,-0.37786573,,
-0.076732895,-0.3994177,1.3468756,,,,-1
,,,-0.85955255,,-0.94572324,
,1.3921412,,-0.85955255,-0.37786573,,
,,,1.0261166,,1.507197,-1
0.043698375,-0.12957796,0.26491816,,,,-1
,-0.43038291,-0.230979,-0.85955255,,-0.94572324,
-0.78441482,-0.47019533,,-0.85955255,-0.37786573,-0.94572324,
,,0.44524439,1.0742182,,,
-0.031677033,,-0.18589744,0.42864342,1.2397225,1.1872509,-1
,-0.47019533,,,,-0.94572324,
,,-0.095734317,1.6404675,,1.2268632,-1
,,,-0.10469418,-0.37786573,,-1
,-0.41711211,0.35508128,,,0.5808768,-1
-0.02744246,-0.30652205,-0.32114211,-0.85955255,-0.37786573,,-1
-0.78441482,,-0.59163147,,-0.37786573,,-1
,,,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,,,,,-0.94572324,
,-0.42153571,-0.27606055,-0.85955255,-0.37786573,,-1
-0.11196455,-0.43038291,,,-0.37786573,-0.94572324,-1
,-0.47019533,-0.59163147,,,-0.94572324,
-0.78441482,-0.47019533,,-0.85955255,,-0.94572324,
0.46681696,,,,-0.37786573,1.2603814,
,0.34374748,-0.230979,0.7227386,,0.95567082,-1
-0.35655351,-0.27998044,,0.3522715,,1.1293559,-1
,-0.22689721,-0.27606055,1.0822352,,,
,,0.44524439,,,,
0.47545549,,0.17475504,0.68982695,,,
0.081301388,-0.17381398,0.2198366,1.159451,,1.2603814,
,-0.31094565,,,,,-1
0.49730589,,0.40016284,,-0.010649603,,
1.2839203,,,,0.37115244,1.3457004,
,,,,,-0.94572324,-1
,-0.04552952,,,-0.37786573,1.0166129,-1
-0.78441482,,,,-0.37786573,,-1
0.16921113,,,-0.85955255,-0.37786573,,
,1.0647946,,0.096995197,-0.37786573,0.64181891,
,4.3072951,-0.41130523,,1.5514265,,
-0.78441482,,,-0.85955255,-0.37786573,,
,,,0.92695965,-0.37786573,1.0836493,
0.13635084,-0.31094565,,0.95354214,,,-1
-0.48409887,,,-0.85955255,-0.37786573,,-1
-0.33622756,-0.27555684,,0.45902341,-0.37786573,,
0.75646179,,-0.230979,0.16113073,,,-1
,-0.42153571,0.67065219,-0.85955255,,-0.94572324,-1
0.014903275,,,,-0.37786573,-0.94572324,-1
,,,,-0.37786573,-0.94572324,
,-0.098612747,,,,0.67533708,-1
,-0.47019533,,-0.85955255,-0.37786573,,
-0.78441482,-0.47019533,,,-0.37786573,,
,0.48530275,,-0.85955255,-0.37786573,-0.94572324,-1
,-0.38172329,-0.0055711987,,-0.37786573,0.99223609,
0.53457014,0.21546301,,,,,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,,-0.94572324,
,-0.080918338,0.80589687,0.49868618,,,
,-0.014564304,0.30999972,1.1109274,-0.37786573,,
0.84454092,0.69321205,,-0.85955255,-0.37786573,-0.94572324,-1
0.7673023,5.019495,0.039510361,0.87801411,,,-1
,,,,-0.37786573,,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
,,-0.230979,1.6092436,-0.37786573,,-1
,,0.49032595,,,,-1
0.8298046,,,1.3683134,,,
,-0.43038291,0.08459192,0.35058373,,0.91605844,
,,,,-0.37786573,,
-0.78441482,,-0.59163147,,-0.37786573,-0.94572324,
0.1675173,-0.45250093,-0.36622367,,,-0.94572324,
-0.17971772,,,0.14594074,,,
,,-0.14081588,,,,
-0.24137311,,0.89605999,0.47210369,,1.1506856,-1
-0.78441482,-0.47019533,,-0.85955255,,,
0.40363712,-0.0057170995,,-0.85955255,-0.37786573,,
,-0.2092028,1.5722834,,,-0.94572324,
,,,,,-0.94572324,-1
-0.78441482,,,-0.85955255,-0.37786573,,-1
0.87502985,,,,,1.2085806,
-0.36671649,,,1.7510169,-0.37786573,0.82769237,
,-0.31979286,,1.7826627,,0.98004767,
-0.78441482,,,,,,-1
,-0.45250093,,-0.85955255,,-0.94572324,-1
,-0.32864006,,0.28307264,,0.98614188,
0.27863251,,0.62557063,,,0.88558738,
0.50137108,,,0.46704035,,0.83378658,-1
0.50950146,0.42779592,0.76081531,1.0214752,0.082430284,,
,,0.89605999,,,,
,-0.45250093,,0.11218519,,1.4249251,
0.22798701,0.1844978,,-0.85955255,,,
,,,-0.85955255,,,
-0.069280046,0.23758102,,,0.04275527,1.3396062,-1
,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,,,-0.85955255,,-0.94572324,-1
,,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
,,,-0.85955255,,-0.94572324,
1.0755792,5.0858491,-0.0055711987,-0.85955255,-0.37786573,,-1
0.39482921,,,,,,
0.10111919,0.69763566,,,1.2227659,0.44375703,
-0.78441482,,,-0.85955255,-0.37786573,-0.94572324,
,-0.12957796,0.039510361,1.4421536,,1.132403,
,-0.47019533,-0.59163147,,-0.37786573,-0.94572324,-1
0.47257598,0.12256737,0.71573375,0.48434007,,,-1
,,1.6173649,0.19193267,0.055793698,,
-0.78441482,,-0.59163147,,-0.37786573,,-1
,0.1844978,0.89605999,,-0.37786573,1.0836493,-1
,-0.31094565,0.58048907,,,,
,,-0.050652758,-0.85955255,-0.37786573,,
,-0.45250093,0.62557063,-0.85955255,-0.37786573,-0.94572324,
,-0.47019533,-0.59163147,,-0.37786573,,
-0.11213393,-0.30209845,-0.095734317,,,,
,,-0.59163147,-0.85955255,,-0.94572324,
,-0.44807732,,-0.85955255,-0.37786573,-0.94572324,
,-0.47019533,-0.59163147,,,-0.94572324,-1
-0.077749193,,,,-0.37786573,-0.94572324,-1
0.1685336,,,0.35817872,,,-1
,,,,,,
-0.78441482,-0.47019533,-0.59163147,-0.85955255,,-0.94572324,-1
-0.2415425,-0.45250093,-0.0055711987,,-0.37786573,-0.94572324,-1
,,,-0.85955255,-0.37786573,,
,,,,-0.37786573,,
0.35790373,0.3835599,0.039510361,0.25649015,-0.37786573,,
-0.3279278,,0.12967348,0.96071519,1.0084879,,
,-0.35075807,,,,1.1750624,-1
,,,0.80122024,4.8947625,1.1354501,-1
-0.27795983,,,,,0.92824687,
,,0.30999972,-0.85955255,-0.37786573,-0.94572324,-1
,,-0.27606055,,-0.37786573,,-1
,,2.7894855,1.6417333,0.30329335,,-1
,0.60916361,0.76081531,2.1881512,0.16289977,1.1141203,
0.11331476,-0.26670963,,-0.85955255,-0.37786573,,-1
,1.1709611,-0.41130523,,,,
,,0.40016284,-0.85955255,-0.37786573,-0.94572324,-1
,-0.37729969,,,0.47565741,1.3396062,
,-0.15169597,,,0.0063727885,,-1
0.16209705,,0.17475504,,,,-1
-0.78441482,-0.47019533,,,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,,-0.59163147,-0.85955255,,,-1
,,-0.59163147,,,,-1
,,-0.59163147,,-0.37786573,,
-0.78441482,-0.47019533,-0.59163147,-0.85955255,,,
0.078760644,,,0.72231666,,0.96176503,-1
0.65279943,0.25527543,0.039510361,1.6067119,,,
0.49239378,-0.049953122,,,-0.37786573,-0.94572324,
0.0035546183,,,,-0.37786573,,
,-0.3949941,,1.182236,,1.3426533,-1
-0.22409605,,,,-0.37786573,-0.94572324,
0.17632522,-0.036682315,-0.14081588,1.5408886,,,-1
,-0.44365372,0.039510361,0.49531062,1.1818727,1.0531782,
0.16633162,-0.23132081,-0.36622367,,2.4510451,1.3975012,
,1.1488431,,,-0.37786573,-0.94572324,
0.088076706,-0.43480652,,0.70754861,,1.2024864,
0.58623193,0.54723318,-0.18589744,1.2164134,-0.37786573,1.0257543,
,,,0.71134611,-0.37786573,,-1
,-0.12073076,-0.0055711987,1.757768,,1.0958377,
,,0.44524439,-0.85955255,-0.37786573,-0.94572324,
-0.78441482,-0.47019533,,,,,-1
,-0.33748727,-0.45638679,-0.85955255,,-0.94572324,-1
,2.3034033,-0.0055711987,1.3978495,-0.37786573,,-1
,,,,0.84550757,1.4675846,-1
,,,0.55818032,,,-1
,-0.30652205,,,0.91020582,1.132403,
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,,-1
,0.48530275,-0.41130523,,1.583364,1.1476385,
-0.049801008,,-0.230979,1.1687337,,1.1781095,
,-0.47019533,,,,-0.94572324,
,-0.37729969,-0.095734317,0.86071439,0.78999547,,-1
,1.9318207,0.26491816,,0.12368571,0.77284447,
,,,,,,
-0.23679977,-0.36845248,,,,,
,-0.18708479,-0.230979,,,1.0531782,
,,,,,,
-0.78441482,,-0.59163147,-0.85955255,-0.37786573,-0.94572324,
,,-0.18589744,1.2514348,-0.37786573,,-1
,-0.47019533,-0.59163147,-0.85955255,-0.37786573,,
,,0.2198366,,,,
0.34469186,0.41010151,,,,,
0.064193711,-0.12073076,,0.97590519,,1.2938996,
,,-0.59163147,-0.85955255,-0.37786573,,-1
-0.78441482,-0.47019533,,,-0.37786573,-0.94572324,-1
0.39974132,0.069484139,,-0.85955255,,,
1.2339523,0.96747539,,,-0.37786573,-0.94572324,
-0.78441482,,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
,,0.12967348,,1.5561019,0.64791313,-1
,-0.47019533,-0.59163147,,,,
,,-0.36622367,,-0.37786573,0.73018498,-1
,,-0.050652758,1.4670484,,0.67533708,-1
,,,,,,
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,
-0.78441482,-0.47019533,,,-0.37786573,,
0.28727104,-0.45250093,-0.45638679,,-0.37786573,,
0.43920754,,,,,-0.94572324,-1
,,,0.8417269,,0.16342329,
-0.15803671,,2.023099,0.46028925,,,
0.099594745,-0.29767485,,0.44467731,,0.96481214,-1
,,,,-0.37786573,,-1
0.21697712,0.52511517,-0.14081588,-0.85955255,-0.37786573,,-1
,,-0.59163147,,,-0.94572324,-1
,,,0.42484592,0.77804358,,-1
-0.78441482,,-0.59163147,-0.85955255,-0.37786573,,
-0.78441482,,,-0.85955255,,-0.94572324,-1
,-0.27555684,,0.71767527,1.0121426,1.1080261,-1
,,-0.32114211,,1.6737441,,
-0.268305,,-0.050652758,,,0.70885524,-1
-0.78441482,-0.47019533,-0.59163147,,,,-1
,-0.29325125,,0.85733884,-0.37786573,,-1
,,,-0.85955255,,,-1
-0.78441482,,,-0.85955255,-0.37786573,-0.94572324,-1
-0.41448248,-0.42595931,,,,0.88558738,
,-0.31979286,,0.64763252,,,
,,,,,-0.94572324,-1
0.51830937,1.3877176,,-0.85955255,,,-1
,,,,,1.0348956,
,1.8477722,,-0.85955255,,,
0.45597645,,,,,,
-0.37315304,,0.30999972,,,,-1
-0.19614787,-0.30652205,2.0681805,,,-0.94572324,
,,,,,0.26702489,
,-0.47019533,,-0.85955255,-0.37786573,-0.94572324,
,-0.47019533,-0.59163147,,-0.37786573,,-1
-0.182936,-0.42153571,,0.82527107,-0.37786573,,
,,,,,,
,,-0.27606055,,,,
-0.78441482,-0.47019533,-0.59163147,,-0.37786573,,-1
,-0.076494735,1.8878543,-0.85955255,,,-1
0.68752293,,-0.18589744,,,,
-0.78441482,,,,-0.37786573,,-1
-0.13889643,,,-0.26039163,-0.37786573,0.93434108,
0.060467286,,0.30999972,,0.35037656,1.3944541,-1
,,,,-0.37786573,-0.94572324,-1
-0.070804492,-0.32421646,,,-0.37786573,1.4035954,-1
,-0.47019533,,-0.85955255,-0.37786573,-0.94572324,
0.26813077,0.3924071,0.08459192,1.4514364,,,
-0.28727589,-0.44807732,,,,0.43766282,
-0.028458757,,,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,,-0.59163147,-0.85955255,-0.37786573,,-1
,-0.41711211,-0.095734317,-0.85955255,,,-1
,-0.0012934972,,,,,
-0.097058848,-0.37287609,,-0.85955255,-0.37786573,-0.94572324,
,-0.41268851,-0.095734317,,,,-1
,,-0.41130523,,,0.83073948,-1
0.35282224,0.7905313,0.26491816,-0.85955255,-0.37786573,,
0.010838085,-0.24459162,-0.0055711987,1.2978487,,1.4523491,
,,,-0.85955255,,,-1
,,-0.0055711987,-0.85955255,,-0.94572324,-1
,-0.47019533,-0.59163147,,,,
0.015072658,,,-0.85955255,-0.37786573,-0.94572324,-1
0.21782404,0.22431022,0.12967348,,,,
,,,,-0.37786573,,-1
,-0.35960528,0.76081531,1.4421536,,0.72713788,
,-0.47019533,,,-0.37786573,,
,-0.47019533,-0.59163147,-0.85955255,,,
,,-0.59163147,,,-0.94572324,-1
,,,,-0.37786573,1.6747878,
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,,
2.629329,5.0593075,-0.41130523,1.7830846,,0.25178936,-1
,,-0.59163147,,-0.37786573,-0.94572324,-1
,-0.47019533,,-0.85955255,,,-1
,-0.47019533,,-0.85955255,,,
0.11179032,,0.039510361,,-0.37786573,,-1
-0.39517282,,,,-0.37786573,0.270072,-1
0.16429903,,-0.14081588,,,,-1
,0.33932388,1.5272018,,,,-1
0.88908863,,0.08459192,,1.0312722,,
,,0.80589687,-0.85955255,-0.37786573,,
0.0084667236,,1.2567125,,-0.37786573,,
,,-0.230979,,-0.37786573,,
0.49256317,,-0.45638679,1.0881424,1.9712573,1.0318485,
,,-0.095734317,0.82864662,-0.37786573,0.65400734,-1
