Rank,Title,Genre,Description,Director,Actors,Year,Runtime_Minutes,Rating,Votes,Revenue_Millions,Metascore
197,,,With the help of his new friends Alex Danyliuk turns to a life of crime and identity theft.,Akan Satayev,,-9999999,-9999999,6.3,3799,,
-9999999,Into the Wild,,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire 24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",,,2007,148,8.1,459304,18.35,73.0
199,The Imitation Game,"Biography,Drama,Thriller","During World War II, mathematician Alan Turing tries to crack the enigma code with help from fellow mathematicians.",,,-9999999,-9999999,8.1,-9999999,91.12,73.0
200,Central Intelligence,"Action,Comedy,Crime","After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",Rawson Marshall Thurber,"Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan",2016,107,6.3,97082,127.38,52.0
201,,"Action,Adventure,Sci-Fi","A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson",2014,113,7.9,471815,100.19,71.0
202,A Cure for Wellness,"Drama,Fantasy,Horror",,Gore Verbinski,"Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi",2016,-9999999,6.5,12193,8.1,47.0
203,Snowden,"Biography,Drama,Thriller",,Oliver Stone,"Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo,Zachary Quinto",2016,134,7.3,79855,21.48,58.0
204,Iron Man,,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges",-9999999,126,7.9,737719,318.3,79.0
205,Allegiant,"Action,Adventure,Mystery","After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",,"Shailene Woodley, Theo James, Jeff Daniels,Naomi Watts",-9999999,120,5.7,70504,66.0,33.0
206,,,,Matthew Vaughn,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon",2011,132,7.8,550011,146.41,65.0
207,Raw (II),"Drama,Horror",,,,2016,99,7.5,5435,0.51,81.0
208,Paterson,"Comedy,Drama,Romance","A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details.",Jim Jarmusch,,2016,118,7.5,26089,2.14,90.0
209,Bridesmaids,,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.",Paul Feig,"Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews",2011,125,6.8,227912,169.08,75.0
210,The Girl with All the Gifts,"Drama,Horror,Thriller",,,"Gemma Arterton, Glenn Close, Dominique Tipper,Paddy Considine",-9999999,111,6.7,23713,,67.0
-9999999,San Andreas,"Action,Adventure,Drama",,Brad Peyton,"Dwayne Johnson, Carla Gugino, Alexandra Daddario,Colton Haynes",-9999999,-9999999,6.1,161396,155.18,43.0
212,Spring Breakers,Drama,"Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer.",,"Vanessa Hudgens, Selena Gomez, Ashley Benson,Rachel Korine",-9999999,94,5.3,-9999999,14.12,63.0
213,,,,,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",2007,144,7.1,-9999999,318.76,61.0
214,Old Boy,"Action,Drama,Mystery","Obsessed with vengeance, a man sets out to find out why he was kidnapped and locked into solitary confinement for twenty years without reason.",Spike Lee,"Josh Brolin, Elizabeth Olsen, Samuel L. Jackson, Sharlto Copley",2013,104,5.8,54679,,49.0
215,,"Action,Adventure,Fantasy","When Dr. Jane Foster gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves.",Alan Taylor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston,Stellan Skarsgrd",2013,112,7.0,443584,206.36,54.0
216,Gods of Egypt,"Action,Adventure,Fantasy",,,,-9999999,126,5.5,73568,31.14,25.0
217,,"Action,Adventure,Sci-Fi","As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",Anthony Russo,"Chris Evans, Samuel L. Jackson,Scarlett Johansson, Robert Redford",2014,-9999999,7.8,542362,259.75,70.0
218,,"Action,Adventure,Comedy",,,,2016,-9999999,5.7,-9999999,33.04,41.0
-9999999,,"Drama,Horror",,Liam Gavin,"Mark Huberman, Susan Loughnane, Steve Oram,Catherine Walker",2016,100,6.1,1703,,67.0
-9999999,Kick-Ass,"Action,Comedy","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",Matthew Vaughn,,2010,117,7.7,456749,48.04,66.0
221,Hardcore Henry,"Action,Adventure,Sci-Fi","Henry is resurrected from death with no memory, and he must save his wife from a telekinetic warlord with a plan to bio-engineer soldiers.",,"Sharlto Copley, Tim Roth, Haley Bennett, Danila Kozlovsky",2015,96,6.7,61098,9.24,51.0
222,Cars,"Animation,Adventure,Comedy","A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",John Lasseter,"Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy",-9999999,-9999999,7.1,-9999999,244.05,73.0
-9999999,It Follows,,,David Robert Mitchell,"Maika Monroe, Keir Gilchrist, Olivia Luccardi,Lili Sepe",2014,-9999999,6.9,-9999999,14.67,83.0
224,The Girl with the Dragon Tattoo,"Crime,Drama,Mystery",,David Fincher,"Daniel Craig, Rooney Mara, Christopher Plummer,Stellan Skarsgrd",2011,-9999999,7.8,348551,102.52,71.0
225,We're the Millers,,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,Rawson Marshall Thurber,"Jason Sudeikis, Jennifer Aniston, Emma Roberts, Ed Helms",2013,-9999999,7.0,334867,150.37,44.0
226,,Drama,,Andrea Arnold,"Sasha Lane, Shia LaBeouf, Riley Keough, McCaul Lombardi",-9999999,163,7.0,19660,0.66,79.0
-9999999,The Lobster,"Comedy,Drama,Romance",,Yorgos Lanthimos,"Colin Farrell, Rachel Weisz, Jessica Barden,Olivia Colman",2015,119,7.1,121313,8.7,82.0
228,Predators,"Action,Adventure,Sci-Fi",,Nimrd Antal,"Adrien Brody, Laurence Fishburne, Topher Grace,Alice Braga",-9999999,-9999999,6.4,-9999999,52.0,51.0
229,Maleficent,,"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.",Robert Stromberg,,-9999999,-9999999,7.0,268877,241.41,56.0
230,,"Horror,Sci-Fi,Thriller",,,,2016,102,4.8,2382,,35.0
231,,,"In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi Lpez,Maribel Verd",2006,-9999999,8.2,-9999999,37.62,98.0
-9999999,A Kind of Murder,"Crime,Drama,Thriller","In 1960s New York, Walter Stackhouse is a successful architect married to the beautiful Clara who leads a seemingly perfect life. But his fascination with an unsolved murder leads him into a spiral of chaos as he is forced to play cat-and-mouse with a clever killer and an overambitious detective, while at the same time lusting after another woman.",Andy Goddard,,2016,95,5.2,-9999999,0.0,50.0
-9999999,Apocalypto,"Action,Adventure,Drama","As the Mayan kingdom faces its decline, the rulers insist the key to prosperity is to build more temples and offer human sacrifices. Jaguar Paw, a young man captured for sacrifice, flees to avoid his fate.",Mel Gibson,"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernndez,Rudy Youngblood",2006,139,7.8,247926,50.86,68.0
234,Mission: Impossible - Rogue Nation,,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",,"Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg",2015,131,7.4,-9999999,195.0,75.0
235,The Huntsman: Winter's War,"Action,Adventure,Drama","Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",Cedric Nicolas-Troyan,"Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt",2016,114,6.1,-9999999,47.95,35.0
236,,"Drama,Romance",An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,Stephen Chbosky,,2012,102,8.0,377336,17.74,67.0
237,Jackie,,"Following the assassination of President John F. Kennedy, First Lady Jacqueline Kennedy fights through grief and trauma to regain her faith, console her children, and define her husband's historic legacy.",Pablo Larran,"Natalie Portman, Peter Sarsgaard, Greta Gerwig,Billy Crudup",2016,100,6.8,-9999999,13.96,81.0
-9999999,The Disappointments Room,,,D.J. Caruso,"Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till",-9999999,-9999999,3.9,-9999999,2.41,31.0
239,,"Adventure,Comedy,Drama","The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.",,,2014,99,8.1,530881,59.07,88.0
240,The Host,,,Andrew Niccol,,2013,-9999999,5.9,96852,26.62,35.0
241,Fury,"Action,Drama,War","A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.",,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Pea",2014,134,7.6,-9999999,85.71,64.0
242,Inside Out,"Animation,Adventure,Comedy","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Pete Docter,"Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling",2015,95,8.2,416689,356.45,94.0
243,,"Animation,Adventure,Comedy","When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff, he leaves home to fulfill his dream of becoming a musician, setting into motion a series of completely unexpected events.",,"Luke Wilson, Eddie Izzard, J.K. Simmons, Lewis Black",-9999999,90,5.8,1109,9.4,48.0
244,Terminator Genisys,"Action,Adventure,Sci-Fi","When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.",Alan Taylor,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke,Jai Courtney",-9999999,126,6.5,-9999999,89.73,38.0
245,,,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,,"Logan Lerman, Kevin McKidd, Steve Coogan,Brandon T. Jackson",2010,118,5.9,148949,88.76,47.0
-9999999,,"Drama,Musical,Romance","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",,"Hugh Jackman, Russell Crowe, Anne Hathaway,Amanda Seyfried",-9999999,158,7.6,257426,148.78,63.0
-9999999,Children of Men,"Drama,Sci-Fi,Thriller","In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",Alfonso Cuarn,,2006,109,7.9,382910,35.29,84.0
248,,"Comedy,Drama","The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.",Mike Mills,,2016,-9999999,7.4,14708,5.66,83.0
249,Spy,"Action,Comedy,Crime","A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",Paul Feig,,2015,119,7.1,-9999999,110.82,75.0
250,The Intouchables,"Biography,Comedy,Drama","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",,"Franois Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",2011,-9999999,8.6,557965,13.18,57.0
251,,"Comedy,Drama,Romance","Anne is at a crossroads in her life. Long married to a successful, driven but inattentive movie producer, she unexpectedly finds herself taking a car trip from Cannes to Paris with a ... See full summary ",Eleanor Coppola,"Diane Lane, Alec Baldwin, Arnaud Viard, Linda Gegusch",2016,92,4.9,-9999999,0.32,50.0
252,Kynodontas,"Drama,Thriller",,Yorgos Lanthimos,"Christos Stergioglou, Michele Valley, Angeliki Papoulia, Hristos Passalis",2009,94,7.3,50946,0.11,73.0
-9999999,Straight Outta Compton,"Biography,Drama,History","The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",F. Gary Gray,,-9999999,-9999999,7.9,139831,161.03,72.0
254,The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi",,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti",-9999999,142,6.7,342183,202.85,53.0
-9999999,The Conjuring,,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,,"Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor",2013,-9999999,7.5,330305,137.39,68.0
256,The Hangover,,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Todd Phillips,"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms",2009,100,7.8,611563,277.31,73.0
257,,,,Peter Berg,"Alexander Skarsgrd, Brooklyn Decker, Liam Neeson,Rihanna",2012,131,5.8,-9999999,65.17,41.0
258,Rise of the Planet of the Apes,"Action,Drama,Sci-Fi","A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising.",,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval",-9999999,105,7.6,-9999999,176.74,68.0
259,,Horror,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an entity attached to their mother.",,"Teresa Palmer, Gabriel Bateman, Maria Bello,Billy Burke",2016,81,6.4,-9999999,67.24,58.0
260,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"Drama,Thriller","Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse.",Joseph Cedar,"Richard Gere, Lior Ashkenazi, Michael Sheen,Charlotte Gainsbourg",2016,118,7.1,664,2.27,76.0
261,Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama,Romance",,Alejandro Gonzlez Irritu,"Michael Keaton, Zach Galifianakis,Edward Norton, Andrea Riseborough",2014,119,7.8,440299,42.34,88.0
262,Black Swan,"Drama,Thriller","A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",,,2010,-9999999,8.0,581518,106.95,79.0
263,,,,,"Tyler James Williams, Tessa Thompson, Kyle Gallner,Teyonah Parris",2014,108,6.2,21715,4.4,79.0
264,,Drama,A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.,Lars von Trier,,-9999999,117,7.0,-9999999,0.79,64.0
265,Teenage Mutant Ninja Turtles: Out of the Shadows,"Action,Adventure,Comedy","After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang.",Dave Green,"Megan Fox, Will Arnett, Tyler Perry, Laura Linney",2016,-9999999,6.0,59312,0.54,40.0
266,Knock Knock,"Drama,Horror,Thriller",,Eli Roth,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns",2015,-9999999,4.9,-9999999,0.03,53.0
267,Dirty Grandpa,Comedy,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant-Colonel, to Florida for spring break.",,"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza",2016,-9999999,6.0,75137,35.54,18.0
268,Cloud Atlas,,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",Tom Tykwer,"Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving",2012,172,7.5,298651,27.1,55.0
269,,"Action,Adventure,Sci-Fi","A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years.",Gavin Hood,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston",2009,107,6.7,388447,179.88,40.0
270,Satanic,,"Four friends on their way to Coachella stop off in Los Angeles to tour true-crime occult sites, only to encounter a mysterious young runaway who puts them on a terrifying path to ultimate horror.",Jeffrey G. Hunt,"Sarah Hyland, Steven Krueger, Justin Chon, Clara Mamet",-9999999,85,3.7,-9999999,,
271,,,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",Sam Mendes,"Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench",2012,143,7.8,547386,304.36,81.0
-9999999,The Hobbit: An Unexpected Journey,"Adventure,Fantasy",,Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage,Andy Serkis",-9999999,169,7.9,668651,303.0,58.0
-9999999,,,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,Phil Lord,,-9999999,-9999999,7.2,-9999999,138.45,69.0
-9999999,,,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,,,2016,-9999999,8.0,52144,3.23,79.0
275,,"Animation,Adventure,Comedy","An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house.",Eric Summer,,2016,-9999999,6.8,-9999999,,
276,,"Action,Adventure,Mystery",,Joseph Kosinski,,2013,-9999999,7.0,410125,89.02,54.0
277,,"Action,Comedy,Crime","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",Phil Lord,,2014,112,7.1,280110,191.62,71.0
278,,"Crime,Drama,History","In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Anthony Edwards",-9999999,157,7.7,-9999999,33.05,78.0
279,Everybody Wants Some!!,Comedy,"In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.",Richard Linklater,,-9999999,117,7.0,36312,3.37,83.0
280,,"Action,Adventure,Sci-Fi","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Shane Black,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow,Don Cheadle",2013,-9999999,7.2,-9999999,408.99,62.0
281,Now You See Me,"Crime,Mystery,Thriller",An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,Louis Leterrier,"Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson",2013,115,7.3,-9999999,117.7,50.0
-9999999,,"Action,Adventure,Crime",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",2009,128,7.6,501769,209.02,57.0
283,Death Proof,Thriller,"Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.",Quentin Tarantino,"Kurt Russell, Zo Bell, Rosario Dawson, Vanessa Ferlito",-9999999,-9999999,7.1,-9999999,,
-9999999,The Danish Girl,"Biography,Drama,Romance",A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,Tom Hooper,"Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw",-9999999,-9999999,7.0,-9999999,12.71,66.0
285,,"Action,Adventure","Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.",Brett Ratner,"Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes",2014,98,6.0,-9999999,72.66,47.0
-9999999,Sucker Punch,"Action,Fantasy","A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape.",Zack Snyder,"Emily Browning, Vanessa Hudgens, Abbie Cornish,Jena Malone",-9999999,110,6.1,-9999999,36.38,33.0
-9999999,Keeping Up with the Joneses,"Action,Comedy",A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.,Greg Mottola,,-9999999,105,5.8,30405,14.9,34.0
-9999999,,"Action,Adventure,Sci-Fi",A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,,"Channing Tatum, Mila Kunis,Eddie Redmayne, Sean Bean",2015,127,5.3,150121,47.38,40.0
289,Masterminds,"Action,Comedy,Crime",A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.,,"Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball",2016,-9999999,5.8,26508,17.36,47.0
-9999999,Iris,Thriller,"Iris, young wife of a businessman, disappears in Paris. Maybe a mechanic with many debts is involved in the strange affair. A really complicated job for the police.",Jalil Lespert,"Romain Duris, Charlotte Le Bon, Jalil Lespert, Camille Cottin",-9999999,99,6.1,-9999999,,
291,,"Action,Drama,Horror",,Sang-ho Yeon,"Yoo Gong, Soo-an Kim, Yu-mi Jung, Dong-seok Ma",-9999999,-9999999,7.5,-9999999,2.13,72.0
292,Pitch Perfect,"Comedy,Music,Romance",,Jason Moore,"Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp",2012,112,7.2,226631,65.0,66.0
293,,,,Nicholas Stoller,"Seth Rogen, Rose Byrne, Zac Efron, Chlo Grace Moretz",2016,92,5.7,76327,55.29,58.0
294,,Drama,"A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.",David Leveaux,"Lily James, Jai Courtney, Christopher Plummer, Los van Wijk",2016,107,7.7,-9999999,,
-9999999,Man of Steel,"Action,Adventure,Fantasy","Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.",Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",2013,143,7.1,-9999999,291.02,55.0
-9999999,,"Drama,Romance",Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.,Ross Katz,,2016,111,6.6,20514,18.71,26.0
297,,,"Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.",Mike Thurmeier,"Ray Romano, Denis Leary, John Leguizamo, Chris Wedge",2016,94,5.7,34523,64.06,34.0
298,The Devil Wears Prada,"Comedy,Drama","A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.",David Frankel,,2006,109,6.8,302268,124.73,62.0
299,The Infiltrator,"Biography,Crime,Drama",,Brad Furman,"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan",2016,127,7.1,43929,15.43,66.0
-9999999,,"Drama,History",,Paul Thomas Anderson,,2007,158,8.1,400682,40.22,92.0
-9999999,The Equalizer,,"A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her.",,"Denzel Washington, Marton Csokas, Chlo Grace Moretz, David Harbour",2014,132,7.2,249425,101.53,57.0
302,,"Action,Biography,Drama",,Peter Berg,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster",2013,121,7.5,218996,125.07,60.0
303,,Horror,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",Drew Goddard,,2012,95,7.0,295554,42.04,72.0
-9999999,The House Bunny,"Comedy,Romance","After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls.",Fred Wolf,,2008,97,5.5,67033,48.24,55.0
305,She's Out of My League,,"An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.",Jim Field Smith,,2010,104,6.4,105619,31.58,46.0
-9999999,Inherent Vice,"Comedy,Crime,Drama","In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.",Paul Thomas Anderson,"Joaquin Phoenix, Josh Brolin, Owen Wilson,Katherine Waterston",-9999999,148,6.7,-9999999,8.09,81.0
307,Alice Through the Looking Glass,,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,James Bobin,,2016,113,6.2,-9999999,77.04,34.0
308,Vincent N Roxxy,,A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.,,"Emile Hirsch, Zo Kravitz, Zoey Deutch,Emory Cohen",2016,110,5.5,-9999999,,
309,The Fast and the Furious: Tokyo Drift,"Action,Crime,Thriller",A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,Justin Lin,"Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette",2006,-9999999,6.0,-9999999,62.49,45.0
310,How to Be Single,,A group of young adults navigate love and relationships in New York City.,,,-9999999,-9999999,6.1,59886,46.81,51.0
311,The Blind Side,"Biography,Drama,Sport","The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",,,2009,129,7.7,237221,255.95,53.0
-9999999,La vie d'Adle,"Drama,Romance","Adle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",,"La Seydoux, Adle Exarchopoulos, Salim Kechiouche, Aurlien Recoing",2013,-9999999,7.8,103150,2.2,88.0
313,The Babadook,,,Jennifer Kent,,-9999999,93,6.8,132580,0.92,86.0
-9999999,The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy",Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,,"Ian McKellen, Martin Freeman, Richard Armitage,Cate Blanchett",-9999999,144,7.4,385598,255.11,59.0
315,,,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson",2007,138,7.5,385325,292.0,71.0
316,Snowpiercer,"Action,Drama,Sci-Fi","Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges.",,,2013,-9999999,7.0,-9999999,4.56,84.0
317,The 5th Wave,,,J Blakeson,"Chlo Grace Moretz, Matthew Zuk, Gabriela Lopez,Bailey Anne Borders",2016,112,5.2,73093,34.91,33.0
-9999999,,"Action,Horror","When his home of New Eden is destroyed by a revitalized Brotherhood and its new Vamp leader, Martin finds himself alone in the badlands of America with only the distant memory of his mentor and legendary vampire hunter, Mister, to guide him.",Dan Berk,"Connor Paolo, Nick Damici, Laura Abramsen, A.C. Peterson",-9999999,-9999999,5.3,1263,,
319,,"Comedy,Horror,Thriller",,M. Night Shyamalan,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie",-9999999,94,6.2,-9999999,65.07,55.0
