Rank,Title,Genre,Description,Director,Actors,Year,Runtime_Minutes,Rating,Votes,Revenue_Millions,Metascore
-9999999,The Intouchables,"Biography,Comedy,Drama",,,,2011,112,8.6,557965,13.18,57.0
251,,,"Anne is at a crossroads in her life. Long married to a successful, driven but inattentive movie producer, she unexpectedly finds herself taking a car trip from Cannes to Paris with a ... See full summary ",,"Diane Lane, Alec Baldwin, Arnaud Viard, Linda Gegusch",-9999999,92,4.9,178,0.32,50.0
252,Kynodontas,"Drama,Thriller","Three teenagers live isolated, without leaving their house, because their over-protective parents say they can only leave when their dogtooth falls out.",Yorgos Lanthimos,,2009,94,7.3,50946,0.11,73.0
-9999999,Straight Outta Compton,"Biography,Drama,History","The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",F. Gary Gray,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell,Neil Brown Jr.",-9999999,-9999999,7.9,139831,161.03,72.0
-9999999,The Amazing Spider-Man 2,,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti",-9999999,-9999999,6.7,-9999999,202.85,53.0
-9999999,The Conjuring,"Horror,Mystery,Thriller",,James Wan,,2013,112,7.5,330305,137.39,68.0
-9999999,The Hangover,Comedy,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Todd Phillips,,-9999999,100,7.8,-9999999,277.31,73.0
257,,,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,Peter Berg,"Alexander Skarsgrd, Brooklyn Decker, Liam Neeson,Rihanna",2012,-9999999,5.8,210349,65.17,41.0
258,Rise of the Planet of the Apes,,"A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising.",,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval",2011,105,7.6,-9999999,176.74,68.0
-9999999,Lights Out,,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an entity attached to their mother.",David F. Sandberg,,-9999999,-9999999,6.4,-9999999,67.24,58.0
-9999999,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"Drama,Thriller",,Joseph Cedar,,-9999999,-9999999,7.1,-9999999,2.27,76.0
261,,,,Alejandro Gonzlez Irritu,,2014,-9999999,7.8,440299,42.34,88.0
262,,,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel,Winona Ryder",-9999999,108,8.0,581518,106.95,79.0
263,,"Comedy,Drama",,,"Tyler James Williams, Tessa Thompson, Kyle Gallner,Teyonah Parris",-9999999,-9999999,6.2,21715,4.4,79.0
-9999999,,,,,"Charlotte Gainsbourg, Stellan Skarsgrd, Stacy Martin, Shia LaBeouf",2013,-9999999,7.0,-9999999,0.79,64.0
265,Teenage Mutant Ninja Turtles: Out of the Shadows,"Action,Adventure,Comedy",,,"Megan Fox, Will Arnett, Tyler Perry, Laura Linney",2016,112,6.0,-9999999,0.54,40.0
-9999999,,"Drama,Horror,Thriller",,Eli Roth,,-9999999,-9999999,4.9,-9999999,0.03,53.0
-9999999,,,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant-Colonel, to Florida for spring break.",,"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza",2016,-9999999,6.0,-9999999,35.54,18.0
268,Cloud Atlas,"Drama,Sci-Fi","An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",,"Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving",2012,172,7.5,298651,27.1,55.0
269,,,,Gavin Hood,,2009,-9999999,6.7,-9999999,179.88,40.0
-9999999,,,,,"Sarah Hyland, Steven Krueger, Justin Chon, Clara Mamet",-9999999,-9999999,3.7,2384,,
271,Skyfall,,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",Sam Mendes,,2012,143,7.8,547386,304.36,81.0
-9999999,The Hobbit: An Unexpected Journey,"Adventure,Fantasy",,,,-9999999,169,7.9,-9999999,303.0,58.0
273,21 Jump Street,"Action,Comedy,Crime",A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,,,2012,-9999999,7.2,-9999999,138.45,69.0
274,Sing Street,"Comedy,Drama,Music",A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,John Carney,"Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy, Jack Reynor",2016,106,8.0,-9999999,3.23,79.0
275,,"Animation,Adventure,Comedy",,Eric Summer,,2016,-9999999,6.8,-9999999,,
-9999999,,,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,Joseph Kosinski,"Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko",-9999999,-9999999,7.0,-9999999,89.02,54.0
277,22 Jump Street,,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",Phil Lord,,-9999999,-9999999,7.1,-9999999,191.62,71.0
-9999999,,,,,,-9999999,157,7.7,-9999999,33.05,78.0
279,Everybody Wants Some!!,,,,"Blake Jenner, Tyler Hoechlin, Ryan Guzman,Zoey Deutch",-9999999,-9999999,7.0,-9999999,3.37,83.0
-9999999,Iron Man Three,,,,,-9999999,-9999999,7.2,-9999999,408.99,62.0
-9999999,,"Crime,Mystery,Thriller",An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,,"Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson",2013,-9999999,7.3,492324,117.7,50.0
-9999999,Sherlock Holmes,,,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",-9999999,128,7.6,-9999999,209.02,57.0
-9999999,,,"Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.",,"Kurt Russell, Zo Bell, Rosario Dawson, Vanessa Ferlito",-9999999,-9999999,7.1,-9999999,,
-9999999,,"Biography,Drama,Romance",,,"Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw",2015,-9999999,7.0,-9999999,12.71,66.0
-9999999,,"Action,Adventure","Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.",,,2014,98,6.0,-9999999,72.66,47.0
286,,"Action,Fantasy","A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape.",,"Emily Browning, Vanessa Hudgens, Abbie Cornish,Jena Malone",2011,-9999999,6.1,-9999999,36.38,33.0
287,,"Action,Comedy",,Greg Mottola,"Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot",-9999999,-9999999,5.8,-9999999,14.9,34.0
-9999999,Jupiter Ascending,"Action,Adventure,Sci-Fi",,Lana Wachowski,,-9999999,-9999999,5.3,150121,47.38,40.0
-9999999,,,,Jared Hess,"Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball",-9999999,-9999999,5.8,26508,17.36,47.0
290,Iris,,"Iris, young wife of a businessman, disappears in Paris. Maybe a mechanic with many debts is involved in the strange affair. A really complicated job for the police.",Jalil Lespert,"Romain Duris, Charlotte Le Bon, Jalil Lespert, Camille Cottin",2016,-9999999,6.1,726,,
291,Busanhaeng,"Action,Drama,Horror",,,,2016,-9999999,7.5,-9999999,2.13,72.0
-9999999,Pitch Perfect,"Comedy,Music,Romance",,Jason Moore,,-9999999,112,7.2,-9999999,65.0,66.0
293,Neighbors 2: Sorority Rising,,,,"Seth Rogen, Rose Byrne, Zac Efron, Chlo Grace Moretz",-9999999,92,5.7,-9999999,55.29,58.0
294,,,,David Leveaux,"Lily James, Jai Courtney, Christopher Plummer, Los van Wijk",-9999999,107,7.7,96,,
295,Man of Steel,"Action,Adventure,Fantasy","Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.",Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",2013,143,7.1,-9999999,291.02,55.0
296,,"Drama,Romance",,,,-9999999,111,6.6,20514,18.71,26.0
297,,,,,"Ray Romano, Denis Leary, John Leguizamo, Chris Wedge",-9999999,-9999999,5.7,-9999999,64.06,34.0
298,,,,David Frankel,"Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt",-9999999,-9999999,6.8,302268,124.73,62.0
299,,,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,,,-9999999,127,7.1,-9999999,15.43,66.0
-9999999,,"Drama,History",,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarn Hinds,Martin Stringer",2007,158,8.1,400682,40.22,92.0
-9999999,,,,,,2014,132,7.2,-9999999,101.53,57.0
-9999999,Lone Survivor,,"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",,,-9999999,-9999999,7.5,218996,125.07,60.0
-9999999,,Horror,,,"Kristen Connolly, Chris Hemsworth, Anna Hutchison,Fran Kranz",-9999999,95,7.0,295554,42.04,72.0
-9999999,,"Comedy,Romance",,Fred Wolf,"Anna Faris, Colin Hanks, Emma Stone, Kat Dennings",2008,97,5.5,-9999999,48.24,55.0
-9999999,She's Out of My League,"Comedy,Romance",,,,-9999999,-9999999,6.4,105619,31.58,46.0
306,,,"In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.",Paul Thomas Anderson,,-9999999,-9999999,6.7,-9999999,8.09,81.0
-9999999,Alice Through the Looking Glass,"Adventure,Family,Fantasy",Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,James Bobin,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway",2016,-9999999,6.2,57207,77.04,34.0
-9999999,Vincent N Roxxy,"Crime,Drama,Thriller",A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.,Gary Michael Schultz,,-9999999,110,5.5,403,,
309,The Fast and the Furious: Tokyo Drift,"Action,Crime,Thriller",,Justin Lin,"Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette",2006,104,6.0,193479,62.49,45.0
-9999999,How to Be Single,,,,"Dakota Johnson, Rebel Wilson, Leslie Mann, Alison Brie",-9999999,110,6.1,59886,46.81,51.0
-9999999,,"Biography,Drama,Sport","The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",John Lee Hancock,,2009,129,7.7,-9999999,255.95,53.0
312,La vie d'Adle,,"Adle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",,,-9999999,-9999999,7.8,-9999999,2.2,88.0
313,The Babadook,"Drama,Horror",,Jennifer Kent,"Essie Davis, Noah Wiseman, Daniel Henshall, Hayley McElhinney",-9999999,-9999999,6.8,132580,0.92,86.0
314,The Hobbit: The Battle of the Five Armies,,Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,Peter Jackson,,2014,-9999999,7.4,-9999999,255.11,59.0
-9999999,Harry Potter and the Order of the Phoenix,"Adventure,Family,Fantasy",,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson",-9999999,-9999999,7.5,385325,292.0,71.0
-9999999,Snowpiercer,,,Bong Joon Ho,,2013,-9999999,7.0,199048,4.56,84.0
317,,"Action,Adventure,Sci-Fi",,,"Chlo Grace Moretz, Matthew Zuk, Gabriela Lopez,Bailey Anne Borders",2016,-9999999,5.2,73093,34.91,33.0
318,,"Action,Horror","When his home of New Eden is destroyed by a revitalized Brotherhood and its new Vamp leader, Martin finds himself alone in the badlands of America with only the distant memory of his mentor and legendary vampire hunter, Mister, to guide him.",Dan Berk,"Connor Paolo, Nick Damici, Laura Abramsen, A.C. Peterson",-9999999,81,5.3,1263,,
319,The Visit,"Comedy,Horror,Thriller",Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,M. Night Shyamalan,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie",-9999999,-9999999,6.2,81429,65.07,55.0
320,,"Action,Crime,Thriller",,Justin Lin,,2011,131,7.3,300803,209.81,66.0
-9999999,Step Up,,"Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",Anne Fletcher,,2006,-9999999,6.5,95960,65.27,48.0
322,Lovesong,Drama,The relationship between two friends deepens during an impromptu road trip.,So Yong Kim,,2016,-9999999,6.4,616,0.01,74.0
323,,"Action,Crime,Thriller","In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into... See full summary ",,"Gerard Butler, Tom Wilkinson, Idris Elba, Thandie Newton",-9999999,114,7.3,-9999999,5.69,53.0
-9999999,In Time,"Action,Sci-Fi,Thriller","In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.",,"Justin Timberlake, Amanda Seyfried, Cillian Murphy,Olivia Wilde",-9999999,109,6.7,-9999999,37.55,53.0
-9999999,The Social Network,,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.",,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake,Rooney Mara",2010,-9999999,7.7,-9999999,96.92,95.0
326,,,,Breck Eisner,,2015,-9999999,6.0,-9999999,27.36,34.0
-9999999,,"Drama,Horror,Sci-Fi",,,,-9999999,110,6.0,-9999999,5.77,36.0
328,,"Biography,Comedy,Drama",,,"Luke Treadaway, Bob the Cat, Ruta Gedmintas, Joanne Froggatt",2016,103,7.4,12643,0.04,54.0
329,,,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,Jeremy Saulnier,,2015,95,7.0,62885,3.22,79.0
-9999999,Blackhat,,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.,,"Chris Hemsworth, Viola Davis, Wei Tang, Leehom Wang",-9999999,133,5.4,43085,7.1,51.0
331,,"Animation,Adventure,Comedy",,Nicholas Stoller,,2016,-9999999,6.9,34248,72.66,56.0
332,American Sniper,"Action,Biography,Drama","Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind.",,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis",2014,133,7.3,353305,350.12,72.0
-9999999,Dallas Buyers Club,,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",,,-9999999,-9999999,8.0,352801,27.3,84.0
-9999999,Lincoln,,"As the War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",Steven Spielberg,,2012,150,7.4,207497,182.2,86.0
335,Rush,,,Ron Howard,"Daniel Brhl, Chris Hemsworth, Olivia Wilde,Alexandra Maria Lara",-9999999,-9999999,8.1,339722,26.9,75.0
-9999999,Before I Wake,"Drama,Fantasy,Horror",,Mike Flanagan,"Kate Bosworth, Thomas Jane, Jacob Tremblay,Annabeth Gish",-9999999,-9999999,6.1,-9999999,,
337,Silver Linings Playbook,,,David O. Russell,,2012,-9999999,7.8,-9999999,132.09,81.0
-9999999,,,,Alexi Pappas,"Alexi Pappas, Chase Offerle, Rachel Dratch, Andy Buckley",-9999999,-9999999,5.9,-9999999,,64.0
339,The Fault in Our Stars,,,,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern",-9999999,-9999999,7.8,271301,124.87,69.0
-9999999,,"Comedy,Romance",,,,-9999999,-9999999,6.5,93764,46.28,31.0
341,,"Action,Crime,Thriller","Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.",Justin Lin,,2009,107,6.6,-9999999,155.02,46.0
-9999999,,"Action,Crime,Drama",,,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano",-9999999,119,7.4,452369,66.47,84.0
343,,"Action,Drama,Thriller","While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",Roland Emmerich,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal,Jason Clarke",2013,-9999999,6.4,-9999999,73.1,52.0
344,,,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.",,"Bryce Dallas Howard, Robert Redford, Oakes Fegley,Oona Laurence",2016,102,6.8,36322,76.2,71.0
-9999999,,,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",,"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church",-9999999,-9999999,6.2,406219,336.53,59.0
346,,"Action,Adventure,Romance",The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,Paul W.S. Anderson,"Logan Lerman, Matthew Macfadyen, Ray Stevenson, Milla Jovovich",2011,110,5.8,-9999999,20.32,35.0
-9999999,Stardust,,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",,,2007,127,7.7,220664,38.35,66.0
348,,,,,"Christian Bale, Amy Adams, Bradley Cooper,Jennifer Lawrence",-9999999,138,7.3,379088,150.12,90.0
-9999999,,,,Karyn Kusama,,-9999999,102,5.1,96617,16.2,47.0
-9999999,,"Comedy,Fantasy,Romance","While on a trip to Paris with his fiance's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.",,,-9999999,94,7.7,320323,56.82,81.0
351,Lady Macbeth,Drama,"Set in 19th century rural England, young bride who has been sold into marriage to a middle-aged man discovers an unstoppable desire within herself as she enters into an affair with a work on her estate.",,"Florence Pugh, Christopher Fairbank, Cosmo Jarvis, Naomi Ackie",2016,-9999999,7.3,1396,,83.0
-9999999,Joy,Drama,"Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.",David O. Russell,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramrez",-9999999,-9999999,6.6,97679,56.44,56.0
353,,"Comedy,Drama",,Jocelyn Moorhouse,"Kate Winslet, Judy Davis, Liam Hemsworth,Hugo Weaving",-9999999,119,7.1,33352,2.02,47.0
354,,"Comedy,Drama,Romance","In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.",Woody Allen,,2016,96,6.7,45579,11.08,64.0
355,Insurgent,,,,,-9999999,119,6.3,-9999999,130.0,42.0
356,Seventh Son,,"When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.",Sergei Bodrov,"Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander",2014,-9999999,5.5,-9999999,17.18,30.0
357,,"Comedy,Drama",Samuel parties hard in the Marseille area of France and is awoken one morning by a woman carrying a baby she claims is his. She drives off leaving him with a wailing infant; he gives chase ... See full summary ,Hugo Glin,,-9999999,118,7.4,5496,,
358,The Theory of Everything,"Biography,Drama,Romance",A look at the relationship between the famous physicist Stephen Hawking and his wife.,James Marsh,,-9999999,123,7.7,299718,35.89,72.0
-9999999,This Is the End,,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the Biblical Apocalypse.",Evan Goldberg,"James Franco, Jonah Hill, Seth Rogen,Jay Baruchel",2013,-9999999,6.6,327838,101.47,67.0
360,About Time,,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Richard Curtis,,2013,123,7.8,221600,15.29,55.0
361,Step Brothers,,,Adam McKay,,-9999999,-9999999,6.9,-9999999,100.47,51.0
-9999999,,"Horror,Thriller",,Jon Watts,,2014,-9999999,5.7,14248,0.05,42.0
-9999999,,"Action,Adventure,Sci-Fi","After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",J.J. Abrams,,-9999999,132,7.8,417663,228.76,72.0
364,Zombieland,,,,,2009,88,7.7,-9999999,75.59,73.0
-9999999,,"Comedy,Mystery",A Hollywood fixer in the 1950s works to keep the studio's stars in line.,Ethan Coen,"Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes",2016,106,6.3,89059,30.0,72.0
-9999999,,,,,,-9999999,-9999999,8.0,-9999999,141.32,86.0
-9999999,The Twilight Saga: Breaking Dawn - Part 2,,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",-9999999,-9999999,5.5,194329,292.3,52.0
368,,,,,,-9999999,117,6.9,-9999999,,
-9999999,The Amazing Spider-Man,,,Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan",2012,136,7.0,474320,262.03,66.0
-9999999,Ben-Hur,,"Judah Ben-Hur, a prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption.",Timur Bekmambetov,,-9999999,123,5.7,-9999999,26.38,38.0
-9999999,Sleight,,,J.D. Dillard,,2016,89,6.0,-9999999,3.85,62.0
-9999999,The Maze Runner,"Action,Mystery,Sci-Fi",,Wes Ball,"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster",-9999999,-9999999,6.8,335531,102.41,57.0
373,Criminal,"Action,Crime,Drama","In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.",,"Kevin Costner, Ryan Reynolds, Gal Gadot, Gary Oldman",2016,113,6.3,38430,14.27,36.0
-9999999,,"Action,Crime,Fantasy",,,"Angelina Jolie, James McAvoy, Morgan Freeman, Terence Stamp",2008,-9999999,6.7,312495,134.57,64.0
-9999999,,"Biography,Comedy,Drama",,,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson",-9999999,-9999999,6.9,31776,27.37,71.0
-9999999,,,,,,-9999999,-9999999,5.7,-9999999,2.2,33.0
-9999999,Black Mass,,,,"Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton",2015,123,6.9,135706,62.56,68.0
-9999999,,,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",-9999999,-9999999,7.6,175673,109.71,82.0
-9999999,Swiss Army Man,,A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.,,"Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero",-9999999,97,7.1,61812,4.21,64.0
380,The Expendables 3,,,,"Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas",-9999999,126,6.1,137568,39.29,35.0
381,,,"A documentary team films the lives of a group of vampires for a few months. The vampires share a house in Wellington, New Zealand. Turns out vampires have their own domestic problems too.",,,-9999999,86,7.6,84016,3.33,76.0
382,,"Drama,Sport",Boxer Billy Hope turns to trainer Tick Wills to help him get his life back on track after losing his wife in a tragic accident and his daughter to child protection services.,Antoine Fuqua,"Jake Gyllenhaal, Rachel McAdams, Oona Laurence,Forest Whitaker",2015,-9999999,7.4,-9999999,52.42,57.0
-9999999,Hush,,,Mike Flanagan,"John Gallagher Jr., Kate Siegel, Michael Trucco,Samantha Sloyan",2016,-9999999,6.6,45867,,67.0
384,Bridge of Spies,"Drama,History,Thriller",,Steven Spielberg,,2015,-9999999,7.6,-9999999,72.31,81.0
385,The Lego Movie,"Animation,Action,Adventure",,,"Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett",2014,-9999999,7.8,-9999999,257.76,83.0
-9999999,Everest,,"The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.",Baltasar Kormkur,"Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson",2015,-9999999,7.1,-9999999,43.25,64.0
387,Pixels,"Action,Comedy,Family",,Chris Columbus,"Adam Sandler, Kevin James, Michelle Monaghan,Peter Dinklage",2015,-9999999,5.6,-9999999,78.75,27.0
388,,,"In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",,,2010,-9999999,6.7,221117,105.22,53.0
389,The Wolverine,"Action,Adventure,Sci-Fi","When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons.",James Mangold,,2013,-9999999,6.7,-9999999,132.55,60.0
390,John Carter,"Action,Adventure,Sci-Fi","Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",Andrew Stanton,,2012,-9999999,6.6,220667,73.06,51.0
-9999999,,"Action,Comedy",,Peter Atencio,"Keegan-Michael Key, Jordan Peele, Tiffany Haddish,Method Man",-9999999,100,6.3,31913,20.57,63.0
-9999999,The Gunman,"Action,Crime,Drama",,,,2015,-9999999,5.8,-9999999,10.64,39.0
393,Steve Jobs,"Biography,Drama","Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.",,,2015,-9999999,7.2,-9999999,17.75,82.0
394,Whisky Galore,"Comedy,Romance",Scottish islanders try to plunder cases of whisky from a stranded ship.,,,2016,98,5.0,102,,43.0
-9999999,,Comedy,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you.",,"Adam Sandler, Kevin James, Chris Rock, David Spade",-9999999,101,5.4,-9999999,133.67,19.0
-9999999,,,,Lee Toland Krieger,"Blake Lively, Michiel Huisman, Harrison Ford,Kathy Baker",-9999999,-9999999,7.2,112288,42.48,51.0
397,,"Action,Adventure,Sci-Fi",,,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",2008,-9999999,6.8,342355,134.52,61.0
398,Couples Retreat,Comedy,,,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman",-9999999,113,5.5,-9999999,109.18,23.0
-9999999,Absolutely Anything,"Comedy,Sci-Fi",,,,-9999999,85,6.0,-9999999,,31.0
-9999999,,,,Steven Soderbergh,,-9999999,-9999999,6.1,113686,113.71,72.0
