V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Class
,0.22,,,,32.0,126.0,1.0002,,0.5,,
6.4,0.3,0.51,5.5,0.048,62.0,172.0,0.9942,,0.45,9.1,4
7.5,0.19,0.34,2.6,0.037,33.0,125.0,0.9923,3.1,0.49,11.1,
8.8,,0.44,6.35,0.024,9.0,,0.9917,2.96,0.4,,5
,0.2,0.36,1.5,0.031,,147.0,0.9931,,0.56,,
,0.37,,1.6,0.04,32.0,166.0,0.992,3.0,,11.3,5
8.3,0.22,,,0.054,,126.0,1.0002,3.22,0.5,9.7,3
8.2,,0.33,9.1,0.036,28.0,118.0,,2.96,,10.9,5
7.7,0.34,,8.0,,25.0,,0.9951,2.97,0.47,,3
,0.55,,12.0,0.049,27.0,,0.9974,3.17,,9.3,4
6.4,0.4,,3.2,0.033,28.0,,0.9904,3.22,0.54,12.7,5
7.5,0.28,0.33,7.7,0.048,42.0,180.0,0.9974,3.37,,,4
7.8,0.26,0.44,1.3,0.037,43.0,132.0,0.9944,3.18,,,3
6.5,0.26,0.34,16.3,0.051,,197.0,,3.49,,9.8,3
6.3,0.34,,6.2,0.046,29.0,227.0,0.9952,3.29,0.53,,
6.8,0.15,0.33,,,31.0,118.0,,3.43,0.39,,5
6.3,0.27,0.25,5.8,0.038,52.0,,0.995,3.28,0.38,9.4,4
6.3,0.27,0.25,,0.038,52.0,155.0,0.995,3.28,0.38,,4
7.4,0.2,0.37,,,43.0,190.0,0.9995,3.03,0.42,9.2,4
6.3,0.23,0.21,5.1,0.035,29.0,,0.9942,3.36,0.33,10.1,5
7.3,0.31,0.69,10.2,,,160.0,0.9977,3.06,0.45,8.6,3
5.2,0.24,,3.8,,21.0,128.0,0.992,3.55,0.49,11.2,6
,0.24,0.32,1.3,0.037,39.0,,0.992,3.17,0.42,11.2,6
7.4,0.2,0.37,,0.048,43.0,190.0,0.9995,3.03,,,
,0.17,0.33,4.0,0.034,17.0,,0.9934,3.19,0.39,10.6,5
8.3,,,17.1,0.049,62.0,213.0,,3.01,0.51,9.3,4
7.2,0.21,,14.5,0.048,35.0,,0.9982,3.05,,8.9,4
,0.21,0.4,1.2,0.069,,156.0,0.9928,3.42,,,
8.4,,,,0.038,,,,3.1,,,5
,0.24,0.31,8.4,,,,,3.09,,8.8,3
5.3,0.24,0.33,,0.033,,,,3.59,,11.0,
6.5,,0.26,8.8,0.04,44.0,139.0,,3.32,0.37,10.2,
6.3,0.23,0.21,,0.035,29.0,142.0,,3.36,0.33,10.1,5
,,0.25,10.6,0.039,32.0,120.0,0.9962,3.31,,,
5.8,0.29,,,0.025,,,0.9894,3.39,,,5
6.3,,0.25,5.8,0.038,52.0,155.0,,,,9.4,4
6.3,0.17,0.42,,,45.0,107.0,0.9908,3.27,0.43,11.8,
6.3,0.16,,,0.033,59.0,,0.9914,3.44,0.53,11.4,3
7.9,,,,0.036,,117.0,0.9938,3.12,,10.7,
,0.31,0.69,,0.041,58.0,,0.9977,,0.45,8.6,
5.5,,,4.9,0.028,25.0,191.0,0.9922,3.51,0.49,11.5,5
5.2,0.24,0.45,3.8,0.027,,128.0,0.992,3.55,0.49,,
7.2,,0.15,2.0,0.029,27.0,87.0,0.9903,,,12.6,
,,,,0.024,,,,3.21,0.51,12.6,5
,,0.4,,0.054,18.0,151.0,0.9952,3.04,0.46,9.3,2
7.2,0.37,0.15,2.0,0.029,27.0,,,3.3,,12.6,5
8.0,,0.37,1.3,0.04,15.0,,0.9912,3.06,,12.1,4
6.5,0.22,0.34,12.0,0.053,55.0,177.0,0.9983,,,,4
,0.18,0.4,,0.047,22.0,,,3.28,0.44,10.7,
,,0.17,1.4,,5.0,,0.9932,3.26,0.32,,2
7.0,0.15,0.38,2.2,,33.0,96.0,,,0.39,10.4,6
5.9,0.415,0.13,1.4,0.04,11.0,,,3.29,0.52,10.5,3
8.1,,0.34,8.3,0.037,33.0,216.0,0.9976,,0.64,,
,0.415,0.13,1.4,0.04,,,0.9922,,,10.5,3
6.4,0.5,0.16,12.9,0.042,26.0,138.0,,3.28,0.33,9.0,3
,,0.32,,,,106.0,,,,9.2,4
6.0,0.4,0.3,1.6,0.047,30.0,,0.9931,3.17,0.48,10.1,
6.6,,,1.45,0.04,,89.0,,,0.4,,5
9.8,0.36,,1.6,0.042,,,,2.93,,,3
,0.23,0.4,,,19.0,135.0,,2.96,0.49,,3
6.3,0.55,0.45,13.0,,33.0,182.0,0.9974,,0.46,9.2,
6.5,0.115,0.29,1.95,0.038,,,,3.12,0.25,,5
6.4,0.125,0.29,5.85,0.042,,,0.992,3.23,0.32,,5
5.7,0.1,0.27,1.3,,,100.0,,,,9.5,3
,0.25,0.29,5.3,,,117.0,0.9918,,0.32,11.8,
6.9,0.2,0.28,1.2,0.048,36.0,159.0,0.9936,3.19,,9.1,4
6.9,,0.34,4.0,0.047,24.0,128.0,0.9944,3.2,0.52,,
6.8,0.39,0.31,14.35,,28.0,162.0,0.9988,3.17,,9.1,3
8.7,0.22,,,0.053,27.0,114.0,0.994,2.99,0.43,10.0,3
,0.41,0.34,4.7,0.042,19.0,127.0,0.9953,3.25,0.42,10.4,3
6.7,,0.34,12.85,0.048,30.0,161.0,0.9986,3.44,0.47,9.5,
6.0,0.26,0.42,5.2,0.027,70.0,,0.9914,3.4,0.4,,6
6.1,0.31,0.37,8.4,,70.0,170.0,,3.42,0.4,11.7,6
9.2,,,3.2,0.058,,,,3.14,0.58,9.5,
9.0,0.31,0.49,,,26.0,,0.9937,2.99,0.34,11.5,3
8.5,0.16,0.33,,0.076,,57.0,0.9921,,0.46,10.6,
9.3,0.34,,7.3,0.052,30.0,146.0,0.998,3.17,0.61,10.2,
9.2,0.28,0.46,3.2,0.058,39.0,,0.996,,0.58,9.5,3
,0.24,,,0.048,,131.0,0.9933,3.25,0.45,,
7.2,0.25,0.32,1.5,0.047,27.0,,0.9933,3.26,,10.5,3
,0.32,0.18,,0.041,,,0.9959,3.14,0.41,,3
,0.27,0.32,1.1,0.031,,151.0,0.9936,3.03,0.41,10.6,3
8.9,0.34,,1.3,0.041,12.0,188.0,0.9953,3.17,,9.5,3
7.0,,0.37,,,,111.0,0.9938,,0.49,,4
6.7,,0.23,7.2,0.038,61.0,,0.9952,,,9.5,
,0.32,0.17,7.6,0.042,,,0.9959,,,8.9,3
6.8,,0.18,,,,223.0,,3.14,0.41,8.9,3
6.1,0.6,0.0,,,,,,,0.38,9.4,2
5.3,0.395,0.07,1.3,0.035,26.0,102.0,,3.5,,10.6,
,,,4.8,0.037,37.0,,0.9967,3.47,0.44,9.0,2
7.6,,,,,26.0,,0.9944,,0.48,10.5,2
7.8,0.3,,,0.054,23.0,135.0,0.9998,,0.38,9.0,
7.8,0.3,0.29,16.85,0.054,23.0,135.0,0.9998,,0.38,,4
,0.26,0.27,4.1,0.201,73.5,189.5,,,0.38,,
7.8,0.3,0.29,16.85,0.054,23.0,,,,,9.0,4
,,0.34,1.3,0.055,50.0,153.0,0.9945,,0.8,,
7.8,0.3,0.29,16.85,0.054,,135.0,,3.16,0.38,9.0,
6.6,0.25,,7.4,,29.0,,0.9946,3.15,,,5
5.7,0.26,0.27,,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,
8.2,0.23,0.49,,0.057,,73.0,0.9928,3.07,0.38,,
6.0,0.24,,6.3,0.03,34.0,129.0,0.9946,,0.41,10.4,3
,,0.27,0.8,0.039,13.0,,0.9927,3.23,0.32,9.5,3
7.4,,0.43,1.4,,22.0,113.0,,3.22,,10.6,
7.2,0.2,0.38,,,21.0,74.0,,3.21,0.37,11.0,3
7.5,,0.34,1.3,0.055,,153.0,0.9945,,0.8,,4
7.7,0.25,0.43,,,20.0,115.0,0.9966,,,9.9,4
,0.61,0.45,,0.03,,118.0,0.9954,,0.34,9.6,3
7.6,0.21,0.44,1.9,,10.0,119.0,0.9913,3.01,,,4
7.4,0.22,,2.0,0.045,,101.0,0.9931,3.42,0.55,11.4,
,0.26,0.26,12.7,0.036,,,0.9986,3.41,,10.0,
,,0.41,8.6,0.042,57.0,,0.9965,3.0,0.44,9.1,
,0.32,,11.1,,,198.0,0.9984,3.36,0.5,9.4,5
6.8,0.25,0.29,2.0,0.042,19.0,189.0,0.9952,3.46,0.54,10.2,4
9.8,0.44,0.4,,,35.0,167.0,0.9956,2.97,,9.2,
,0.2,,4.5,0.044,,109.0,,3.23,0.36,,3
8.2,,0.45,5.4,0.03,,118.0,,3.14,0.34,9.6,3
7.5,,,9.1,0.029,20.0,125.0,,3.12,0.36,10.1,4
7.4,0.22,0.33,2.0,,31.0,101.0,0.9931,3.42,,,
6.4,,0.3,2.2,,33.0,134.0,0.992,,0.47,10.6,4
,,,,0.033,,138.0,0.9912,,0.44,,5
,0.41,,,0.065,65.0,,,3.12,0.51,,
7.5,0.32,,1.2,0.048,22.0,184.0,0.9938,3.09,0.43,9.3,3
6.6,0.21,,2.2,0.026,40.0,,0.9914,3.25,0.4,11.1,6
7.1,,,1.4,,45.0,,0.9932,,,9.9,4
7.6,0.26,0.47,1.6,0.068,5.0,,0.9944,3.1,0.45,9.6,3
7.6,0.21,0.44,,0.036,10.0,119.0,0.9913,3.01,,12.8,4
6.9,,0.26,5.2,0.024,,135.0,,3.16,0.72,10.7,5
,0.26,0.32,14.45,,,,0.998,2.96,0.42,,
7.3,,0.4,14.75,,,129.5,0.9998,3.36,0.41,9.1,5
,,0.22,8.3,,,,,3.33,0.6,,4
7.9,0.22,0.45,14.2,0.038,,141.0,0.9992,3.03,0.46,9.2,
6.9,0.25,,,0.024,36.0,135.0,0.9948,3.16,,,5
7.3,0.22,,14.75,0.042,44.5,129.5,,3.36,,9.1,5
7.1,,0.32,14.45,0.074,29.0,,0.998,,0.42,9.2,4
,0.25,0.37,6.9,0.02,,93.0,,3.0,0.48,10.7,5
6.8,0.18,0.37,1.5,0.027,37.0,93.0,,3.3,0.45,10.8,
,0.17,0.37,1.5,0.028,26.0,75.0,0.9922,3.3,0.46,10.8,5
6.4,0.3,0.38,7.8,,,,,3.1,,,
5.0,0.33,,,0.049,,97.0,0.9917,3.48,0.44,,
5.0,,0.16,,0.049,,,,3.48,,10.7,
8.9,,0.32,1.5,0.047,,200.0,0.9954,,,9.4,3
,0.26,0.46,,,61.0,,0.9986,2.94,0.35,,4
6.4,0.3,,7.8,0.046,,,,3.1,0.37,,3
6.3,,0.4,1.7,,48.0,,0.9917,3.42,0.49,,4
8.0,0.23,0.46,1.5,0.03,,125.0,,3.23,0.47,,
9.2,,0.41,1.0,0.042,14.0,,0.9922,2.96,0.25,10.5,4
7.3,0.27,,,0.064,28.0,188.0,0.9958,,0.3,,3
7.6,,0.36,1.6,,32.0,155.0,0.993,,,11.3,
,0.33,0.16,,0.049,10.0,97.0,,3.48,0.44,10.7,4
9.7,0.24,0.45,,,11.0,59.0,0.9926,2.74,0.47,,4
8.0,,,7.1,0.045,,,0.9959,3.17,0.43,10.6,3
,0.37,0.36,1.0,0.034,,,0.9906,3.04,0.32,,6
,0.61,,12.1,0.301,24.0,220.0,0.9993,2.94,0.48,9.2,3
7.2,0.26,,,,,126.0,,3.02,0.34,,6
8.2,0.37,0.36,1.0,,17.0,93.0,0.9906,3.04,0.32,11.7,6
6.4,,0.33,,,15.5,217.5,0.992,,0.44,11.0,4
5.9,0.4,0.32,6.0,0.034,,127.0,,,0.58,12.5,
,,0.39,,0.038,21.0,,0.994,3.16,0.67,,4
,0.28,0.42,7.1,,,169.0,,3.17,0.43,10.6,3
7.2,0.23,,2.3,,29.0,102.0,0.9908,3.26,0.54,12.3,5
,,0.37,,0.023,,,,,0.53,,
7.2,0.23,0.39,,0.033,29.0,102.0,0.9908,3.26,0.54,12.3,
6.9,0.18,0.38,,0.039,20.0,,0.9943,3.1,0.42,10.5,3
9.4,0.26,0.53,1.2,0.047,25.0,,0.9921,,0.28,12.5,4
8.3,0.33,,1.15,0.033,18.0,,0.9911,3.2,,12.4,1
7.3,0.29,0.3,,0.043,46.0,238.0,0.9986,3.06,0.41,8.7,
,0.41,0.37,4.5,,40.0,,0.992,3.17,0.54,12.4,5
7.9,,0.37,,,,,0.992,,0.54,12.6,5
,,,5.2,,29.0,131.0,0.9943,3.38,,11.0,4
,0.26,0.31,,0.043,,,0.9937,,,,
7.8,0.32,0.31,1.7,,46.0,195.0,0.993,3.03,0.48,10.5,
6.8,0.32,0.37,3.4,0.023,,,,3.14,0.53,12.7,4
,0.24,0.39,3.6,0.024,35.0,116.0,,,0.51,10.9,3
7.1,,,2.7,0.041,,128.0,0.9896,,0.43,13.5,5
10.3,0.25,,2.2,,28.0,164.0,0.998,3.19,0.59,,3
7.9,0.14,,1.8,0.041,,,0.9954,3.45,0.43,9.2,4
7.4,0.18,0.42,2.1,0.036,33.0,187.0,,3.4,,10.6,5
,0.43,0.42,6.6,0.033,36.0,141.0,0.9918,2.98,0.39,13.3,5
7.1,0.44,,2.7,0.041,35.0,128.0,0.9896,3.07,,13.5,5
6.4,0.26,,5.1,0.037,23.0,131.0,,3.29,0.32,10.1,3
8.0,0.66,0.72,17.55,,,233.0,0.9999,2.92,0.68,9.4,2
,0.2,0.4,5.2,0.055,41.0,,0.9953,3.18,0.4,10.6,
,,0.34,1.1,0.046,,,,3.25,0.4,11.3,4
7.2,,0.31,,0.045,20.0,,0.9925,3.32,0.4,,5
,0.57,0.44,10.7,,46.0,,0.9981,3.15,0.51,,3
5.3,0.26,,5.15,,48.0,160.0,,3.82,0.51,10.5,5
5.7,0.245,0.33,1.1,0.049,28.0,,0.9927,,,,3
5.6,0.245,0.32,,0.047,24.0,152.0,0.9927,3.12,0.42,9.3,
7.3,,0.41,,0.037,52.0,165.0,0.9911,3.29,,12.2,
7.0,0.16,0.73,,0.138,58.0,,0.9936,3.08,0.3,9.2,3
6.4,0.22,0.34,1.8,0.057,29.0,104.0,,3.81,0.57,10.3,4
7.3,0.18,,,,,,0.9946,3.33,,,4
6.4,0.17,,6.7,0.036,88.0,223.0,,3.28,0.35,,4
6.9,,0.16,6.8,0.034,,,0.9955,3.08,,9.0,
6.2,0.21,,6.8,0.036,64.0,245.0,,3.06,0.36,9.3,
,0.23,0.3,,,63.0,236.0,,3.06,0.34,,4
,,,1.5,0.05,31.0,156.0,0.9946,3.32,,,4
,0.18,,1.4,0.046,28.0,157.0,0.9946,,0.62,9.4,4
9.6,0.29,0.46,1.45,0.039,,223.0,0.9944,2.92,,,4
7.2,0.14,,1.2,0.036,,73.0,0.9938,3.46,0.39,9.9,3
,0.31,0.34,,0.059,36.0,174.0,0.9963,,0.62,11.1,5
7.5,,,,0.028,36.0,116.0,0.991,,,12.3,6
,0.22,0.42,,,45.0,,1.0003,3.21,0.69,8.6,5
7.6,0.31,0.29,10.5,,21.0,,,3.04,0.35,9.4,3
,0.35,0.56,13.8,,55.0,190.0,0.9993,3.07,0.58,,4
8.0,,0.42,14.6,0.044,,,,3.21,0.69,,5
,0.5,,,0.037,23.0,126.0,0.9938,3.21,0.42,10.9,3
7.0,0.39,0.31,,,32.0,162.0,0.9965,3.2,0.48,9.4,3
8.1,,0.47,1.1,,,126.0,,,,10.9,
,0.35,0.56,13.8,0.048,55.0,190.0,0.9993,3.07,0.58,9.4,
,0.22,0.27,1.5,0.064,20.0,,0.9938,,,9.2,
8.0,,,,,,163.0,1.0003,3.21,,,
7.6,0.31,0.29,10.5,0.04,21.0,145.0,0.9966,,0.35,9.4,3
7.0,0.24,0.36,4.9,0.083,10.0,133.0,,3.33,0.37,10.8,
,0.27,,1.9,,,153.0,0.9928,,0.62,10.5,4
,0.16,0.41,1.7,0.026,29.0,140.0,0.991,,0.78,,4
7.7,0.27,0.34,1.8,0.028,26.0,168.0,,2.99,0.48,12.1,
7.4,0.31,0.74,10.7,,51.0,147.0,0.9977,,0.43,,3
8.0,0.45,0.36,8.8,0.026,,151.0,0.9927,3.07,0.25,,6
7.7,0.27,,1.8,0.028,26.0,168.0,0.9911,2.99,0.48,,
7.8,0.16,,1.7,0.026,29.0,140.0,0.991,,0.78,,4
6.6,0.16,,1.8,0.05,40.0,147.0,0.9912,,0.44,,5
8.3,,0.4,1.6,,,110.0,,3.02,0.6,12.9,5
7.2,0.32,0.33,,0.029,,,,3.15,0.51,12.8,5
6.6,0.16,0.3,1.6,0.034,15.0,,,,,11.2,4
8.4,,,,0.033,,98.0,,3.14,0.42,9.7,
,0.23,0.32,,,54.0,191.0,0.9966,,0.56,9.7,
6.2,0.17,,1.1,0.037,14.0,,0.993,,0.54,,4
6.9,0.39,0.22,4.3,,,,0.993,3.0,0.87,11.6,
,0.41,,4.2,,10.0,102.0,0.993,3.0,0.86,11.6,
7.5,,0.32,9.2,,54.0,191.0,,,0.56,9.7,4
7.5,0.38,0.33,5.0,0.045,,131.0,,,0.44,10.9,4
7.3,0.42,0.38,6.8,0.045,,122.0,0.9925,3.19,0.37,12.6,5
,,0.39,5.2,0.04,,163.0,0.9925,,,12.4,4
7.8,0.23,0.28,4.75,0.042,,166.0,0.9928,,0.4,,3
9.0,0.245,0.38,5.9,,52.0,,0.995,2.93,0.35,10.2,4
6.9,0.2,,,0.032,,176.0,0.9939,3.22,,,
,0.19,0.42,6.4,0.067,39.0,212.0,,3.3,0.33,9.6,4
,0.2,0.36,,,60.0,,0.9952,3.05,0.3,10.3,4
8.0,0.59,0.71,17.35,0.038,61.0,228.0,1.0,2.95,0.75,,3
7.9,0.14,,1.8,0.05,17.0,114.0,0.9948,3.33,0.49,10.7,5
6.8,,0.4,,0.047,34.0,,0.99,3.13,,,6
,,0.59,1.5,0.049,23.0,142.0,0.9958,,0.62,,
,,0.68,,0.046,22.0,130.0,0.9948,,,10.4,4
,0.17,,,,14.0,,0.9949,,0.61,10.3,4
,,0.08,,0.041,,142.0,0.997,3.46,0.39,,
6.3,0.23,,3.75,0.039,37.0,116.0,,3.23,,10.7,4
9.6,0.25,0.54,,0.04,16.0,,0.9938,,0.43,10.5,
9.2,0.32,,1.3,,14.0,186.0,,3.08,0.48,,
,0.31,0.4,6.2,,,169.0,0.9953,3.15,0.46,9.3,4
,0.2,0.36,,0.044,,162.0,0.997,3.1,,10.0,
7.9,,0.26,,0.026,,,0.9932,,0.39,11.2,4
,0.15,,1.4,0.039,21.0,177.0,0.9927,3.32,,,3
6.4,0.15,0.31,1.1,,,96.0,,3.54,0.51,10.3,4
6.4,0.25,0.53,6.6,0.038,59.0,234.0,,3.03,0.42,8.8,
7.6,0.19,,,,6.0,,0.9914,,0.74,12.8,4
,,,4.6,,17.0,,0.991,3.23,0.43,,4
5.1,,0.3,,,28.0,,0.992,3.54,,10.1,4
6.2,,0.26,1.7,,40.0,,0.9924,3.44,,,3
6.9,0.16,0.35,,0.043,21.0,182.0,0.9927,3.25,0.62,10.8,4
7.7,,0.48,2.3,0.04,28.0,114.0,0.9911,,0.52,12.8,5
6.5,0.22,0.72,6.8,0.042,33.0,,0.9958,,0.36,9.2,
6.8,,0.33,,0.047,44.0,,0.9928,,0.44,10.5,4
5.2,0.37,,1.2,0.028,13.0,,0.9902,3.37,,,4
8.4,0.19,0.43,,0.052,20.0,104.0,,2.85,,,
8.3,0.21,0.41,2.2,,24.0,108.0,0.994,,0.45,,3
6.8,0.15,0.32,8.8,,24.0,110.0,,3.4,0.4,,4
7.9,0.16,0.64,17.0,0.05,,210.0,1.0004,,,9.3,
7.8,0.21,0.39,,0.034,,180.0,,3.09,0.75,12.6,6
9.0,,,1.2,,26.0,107.0,,3.21,0.34,,4
5.7,0.21,,2.3,0.047,60.0,189.0,0.995,,0.72,10.1,4
,0.29,0.36,,0.042,38.0,161.0,0.9941,3.26,0.37,11.2,6
6.7,0.18,,6.4,,40.0,,0.9956,3.29,0.52,10.0,3
6.7,0.18,,6.4,,40.0,251.0,0.9956,3.29,0.52,10.0,3
,0.58,0.27,,0.033,37.0,,0.9959,2.99,0.39,10.8,4
7.2,,0.32,0.8,0.04,,,,,0.33,10.0,4
,0.54,,2.0,0.029,13.0,151.0,0.9931,3.04,0.33,10.4,3
8.4,0.58,,,0.033,,116.0,0.9959,2.99,0.39,,4
6.6,,0.31,12.4,0.059,52.0,181.0,0.9984,3.51,0.47,,4
7.3,,0.37,,,51.0,165.0,0.9908,,0.4,,6
7.3,0.39,,1.1,0.043,36.0,,,3.39,0.48,12.7,6
7.0,0.46,0.39,6.2,,46.0,,,3.21,,,5
,0.35,,6.3,0.039,35.0,,0.9936,,,11.9,
7.8,0.29,0.36,,0.042,,161.0,0.9941,3.26,0.37,,6
9.2,0.35,,,0.042,15.0,61.0,,2.96,0.28,10.4,2
8.0,0.57,0.39,,0.034,,,0.9917,,0.67,12.8,5
6.5,0.37,,3.9,0.027,40.0,130.0,0.9906,,0.39,12.7,
5.7,0.21,0.24,,0.047,60.0,189.0,0.995,3.65,0.72,10.1,
6.7,0.18,0.3,6.4,0.048,40.0,,0.9956,3.29,0.52,10.0,3
7.8,0.13,0.3,1.8,,43.0,179.0,0.9955,3.43,,9.0,3
,0.19,0.41,1.1,0.04,38.0,,,2.92,0.42,,3
,0.22,,15.4,0.05,55.0,191.0,1.0,3.32,0.59,,4
,0.29,0.4,6.5,0.039,,,,3.15,0.44,9.3,
,0.35,0.32,2.4,0.048,35.0,103.0,0.9911,3.28,,12.0,
,,,1.4,0.04,31.0,132.0,0.9922,3.36,,10.8,5
6.2,0.12,,5.7,0.044,,158.0,,3.52,,10.5,
,0.13,0.28,5.7,0.038,56.0,189.5,0.9948,3.59,0.43,,5
6.4,,0.33,,,42.0,115.0,0.9906,3.19,0.48,11.3,5
6.9,0.32,,1.4,0.051,15.0,96.0,0.994,3.22,,,2
,,0.41,1.1,0.04,,,0.9907,2.92,0.42,11.4,
6.7,0.13,,,,35.0,140.0,0.9927,3.33,0.33,10.1,5
7.0,0.14,0.41,0.9,0.037,,,,3.25,0.43,10.9,
7.6,,0.24,3.8,0.058,,115.0,0.9958,3.15,0.45,8.9,3
7.3,0.22,0.41,,,55.0,191.0,,3.32,0.59,8.9,4
7.4,0.64,,14.15,,42.0,185.0,0.9984,,0.49,9.3,3
7.6,0.28,0.39,1.9,0.052,23.0,116.0,,,,10.4,4
8.3,,,9.2,,41.0,162.0,,3.1,,,
10.7,,0.56,,,37.0,181.0,0.998,2.87,0.68,9.5,4
10.7,0.22,0.56,8.2,,37.0,,0.998,2.87,,9.5,4
6.9,0.23,0.34,2.7,,24.0,121.0,0.9902,3.14,0.38,12.4,
6.2,,0.32,1.7,0.032,30.0,,,,0.41,11.2,5
6.9,0.27,0.41,1.7,,6.0,134.0,0.9929,3.15,0.69,,4
6.9,0.28,,,0.05,10.0,136.0,0.993,,0.71,11.4,
6.9,0.28,0.3,1.6,,46.0,132.0,0.9918,3.35,,11.1,
6.9,0.46,0.2,0.9,0.054,5.0,126.0,0.992,3.1,0.42,10.4,
,0.38,0.32,8.5,0.044,36.0,152.0,0.9932,,0.35,12.0,
5.7,0.43,0.3,5.7,0.039,24.0,,,3.54,0.61,,5
6.6,0.56,0.16,,0.045,,,,3.12,0.35,9.1,
7.1,0.36,,1.3,0.046,25.0,,0.9923,,0.33,10.5,
6.8,0.23,0.4,1.6,0.047,,133.0,,3.23,,11.4,
6.2,,,1.3,0.042,,,0.9956,3.77,,9.5,3
5.6,0.49,0.13,,0.039,17.0,116.0,0.9907,,0.9,13.7,5
,0.42,,2.8,0.034,15.0,,,3.28,,13.4,4
7.3,,,1.2,0.044,12.0,,0.9918,3.2,0.48,11.3,5
8.1,,0.4,,0.037,,180.0,,,0.34,10.0,4
5.9,0.19,0.26,7.4,,33.0,123.0,0.995,3.49,0.42,,
6.2,0.16,0.47,1.4,0.029,23.0,81.0,0.99,3.26,0.42,12.2,4
,0.42,0.33,2.8,,,85.0,,3.28,0.51,13.4,
5.7,0.135,0.3,,,,101.0,,3.31,0.42,9.3,4
,0.49,0.13,4.5,0.039,,116.0,,,0.9,13.7,5
6.9,0.19,,1.6,0.039,27.0,98.0,0.9898,,0.46,12.3,
7.3,,0.29,1.2,0.044,12.0,,0.9918,3.2,,11.3,5
,,,13.1,0.05,,200.0,,,0.46,8.9,5
7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.9986,,0.46,8.9,5
7.0,,,5.7,0.035,32.0,,0.9928,3.19,0.46,11.5,4
7.3,0.25,0.36,13.1,,35.0,,0.9986,3.04,,8.9,5
6.3,0.67,,12.6,,,,0.9979,3.17,0.52,9.3,
7.4,,0.29,,0.044,,,,3.3,0.5,11.1,6
,,0.31,2.2,0.044,,128.0,0.9937,3.34,,10.9,
,0.31,0.48,6.6,,11.0,,0.9938,2.9,0.38,11.6,3
6.3,0.39,0.24,,0.069,,117.0,0.9942,3.15,0.35,,
8.2,0.22,0.36,6.8,,12.0,,,3.01,0.38,10.5,
7.1,,0.28,,0.033,16.0,,0.993,2.91,0.78,,4
7.3,,,13.1,0.05,35.0,200.0,,3.04,,8.9,
7.9,,0.34,,0.04,29.0,118.0,0.9932,,,10.6,4
,0.26,,,0.037,39.0,97.0,0.9934,3.31,0.4,,4
7.0,0.2,0.34,5.7,0.035,32.0,83.0,0.9928,3.19,0.46,,4
6.9,,0.33,4.1,0.035,26.0,,0.9925,3.25,0.79,12.3,6
8.1,0.29,0.49,7.1,0.042,22.0,124.0,,3.14,0.41,10.8,4
5.8,,,1.4,,,130.0,,3.29,0.38,11.3,4
5.9,0.415,0.02,0.8,0.038,,63.0,,3.36,0.36,9.3,
6.6,0.23,0.26,1.3,0.045,16.0,128.0,0.9934,3.36,0.6,10.0,4
8.6,0.55,,15.55,0.057,35.5,366.5,,3.04,,11.0,1
,0.35,,1.0,0.044,,132.0,0.992,3.13,0.55,10.2,3
,,0.74,,0.04,27.0,,,3.07,0.4,10.8,5
9.2,0.28,,11.8,,,137.0,0.998,3.1,0.34,10.1,
6.2,,,4.5,0.047,,90.0,0.9919,3.27,0.37,,4
5.3,,0.24,,,25.0,105.0,0.9925,3.32,0.47,,3
9.8,,0.74,10.0,0.056,36.0,225.0,0.9977,,0.43,,
8.1,0.29,0.49,7.1,0.042,22.0,,0.9944,3.14,,10.8,4
6.8,,0.49,0.9,0.052,26.0,128.0,,3.25,,11.4,4
7.2,0.22,,1.0,0.045,34.0,140.0,0.99,3.05,0.34,12.7,
7.4,0.25,,,0.042,35.0,,0.9917,3.13,0.55,11.3,3
8.2,,0.49,1.1,0.033,28.0,81.0,0.9923,3.0,,,5
6.1,0.22,0.49,1.5,0.051,,,0.9928,3.3,0.46,9.6,
7.0,0.39,,,0.048,8.0,119.0,0.9923,3.0,0.31,10.1,
6.1,0.22,0.49,1.5,0.051,,87.0,0.9928,3.3,,9.6,
6.5,,0.49,2.9,0.03,16.0,94.0,0.9902,3.1,0.49,12.1,5
7.1,,0.49,1.2,0.031,,,0.9893,,0.33,12.2,
,0.25,,1.1,,35.0,156.0,,,0.55,11.3,3
,0.23,0.24,,0.053,,94.0,0.9982,3.17,0.5,9.6,3
,0.56,0.74,17.85,0.051,,243.0,,2.99,0.7,9.2,3
8.2,0.18,,1.1,0.033,28.0,81.0,0.9923,,0.68,10.4,5
6.3,0.23,,7.1,0.05,67.0,210.0,0.9951,3.23,0.34,,3
6.1,0.25,0.49,7.6,0.052,67.0,226.0,,3.16,0.47,,
7.2,0.26,0.74,13.6,0.05,,162.0,0.998,3.03,0.44,8.8,3
7.2,0.31,0.24,,,17.0,,0.9928,3.16,0.35,10.5,
8.0,0.25,,1.2,0.061,27.0,117.0,0.9938,3.08,,9.4,3
7.0,0.18,0.49,5.3,,34.0,125.0,0.9914,3.24,,,4
,,0.49,13.0,0.033,37.0,158.0,0.9955,3.14,,11.3,4
,,0.74,4.45,0.044,33.0,130.0,,3.25,0.42,12.2,4
