V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Class
6.6,,0.29,2.0,0.023,,86.0,,,,12.5,4
,0.17,,4.8,,,132.0,0.9944,3.36,0.48,9.6,
,,,4.5,,30.0,102.0,0.9938,,,9.4,4
,0.24,0.51,,,55.0,,,,0.61,9.5,
,0.28,,1.1,0.028,,,,2.99,,,5
7.0,,,1.5,0.037,,115.0,0.9927,,0.55,,
7.1,0.55,0.13,,0.073,,,,2.97,0.58,,4
6.3,,0.33,,0.041,67.0,164.0,0.9928,3.32,0.56,10.4,
,,0.34,,,,172.0,,,0.6,9.2,
5.9,0.36,0.41,,,,104.0,,3.33,0.51,,4
,,,,0.044,,137.0,0.9972,3.34,0.42,9.5,
,,,,,,172.0,,3.22,,9.2,
,,0.3,6.6,,,,0.9954,,,9.6,3
,0.18,,1.5,0.028,36.0,117.0,,,,9.7,4
,,0.37,,0.025,43.0,,0.9928,,,9.7,
,0.34,,,,,,,3.1,,,4
,,,1.6,0.045,53.0,180.0,,3.34,,10.5,
7.4,,0.31,,,52.0,177.0,,3.13,0.45,,4
,,,,,8.0,70.0,,3.09,0.46,,
,0.23,,1.6,,,65.0,,,0.4,12.7,5
7.8,,0.26,,0.039,42.0,,0.996,3.18,0.46,9.9,4
6.3,0.19,0.28,,,,158.0,,3.2,,,4
6.8,,0.38,4.7,,27.0,103.0,,,,10.7,
5.7,,0.13,,,,,0.9913,3.33,0.48,,
,,0.62,,,70.0,189.0,,,0.49,,2
,0.23,,,0.026,43.0,,0.9904,3.29,0.54,,4
5.7,0.335,,,,13.0,174.0,0.992,,0.66,,3
,0.4,0.62,10.8,,,189.0,0.9976,3.08,,,
,0.28,,,0.045,,,0.999,3.08,,,4
,,0.58,,,,164.0,0.9975,3.12,,,4
6.4,,0.3,2.25,0.038,,210.0,0.9937,3.2,,,
6.5,0.3,0.29,,,8.0,210.0,,,0.62,,3
7.8,,,,0.053,46.0,,,3.06,0.53,,4
7.8,,0.31,12.2,0.053,,,,,,,
7.3,,,3.3,0.09,7.0,,0.9944,3.01,,,3
6.0,,0.27,,,,170.0,0.9938,,,10.0,
5.9,,0.28,3.5,0.039,55.0,152.0,,3.44,,12.0,4
6.0,,,1.9,0.048,,,0.9938,3.64,,10.0,5
,0.27,0.12,1.3,,62.0,138.0,,3.21,0.42,,4
,,0.35,1.8,,8.0,167.0,,,0.41,,
,,0.36,5.2,,31.0,,,,0.59,,
,0.36,,1.4,,27.0,,,3.21,0.33,11.2,4
7.8,,,,,,,,,,,5
6.1,0.31,0.26,,,28.0,,,3.37,0.47,,
,0.18,,,,47.0,154.0,,,0.45,9.1,
7.4,0.15,0.42,,0.045,,154.0,,3.0,,10.4,4
5.9,,,,0.05,20.0,78.0,0.9918,3.43,0.64,,
,,,,0.048,,,,3.19,0.4,11.7,3
7.9,,,2.1,0.039,8.0,,,,,9.8,
,0.19,,,0.039,,,,3.05,0.74,,
6.9,,0.4,1.3,,,101.0,0.9901,3.03,,11.4,4
5.8,0.36,0.32,,,,,0.9898,,,11.2,4
,0.35,0.37,1.0,0.038,,,,3.37,0.34,,3
,0.32,0.39,,,24.0,140.0,,3.09,0.45,9.2,4
7.2,,,,,3.0,29.0,0.9906,,,12.5,
,0.28,,,0.034,32.0,116.0,0.9898,3.36,,,
5.2,0.36,0.02,1.6,,24.0,104.0,,3.44,,,4
,0.19,,,0.03,,,0.9922,3.56,0.45,11.2,4
6.4,0.1,,4.9,,31.0,,0.9947,3.43,0.79,,4
,0.18,0.48,4.0,,,150.0,0.9945,,0.4,,
,0.25,,,,53.0,,,,0.48,,4
7.4,,0.36,,,53.0,178.0,0.9976,,0.48,,
,,,13.2,,53.0,,0.9976,,,,
,0.345,0.51,,,,,0.9987,3.09,0.51,,
7.9,0.345,,,,54.0,,0.9987,,0.51,9.1,
7.4,0.25,0.36,13.2,,53.0,178.0,,3.01,0.48,,
,,,1.5,0.045,,,,3.31,0.54,10.4,3
,0.25,0.24,4.55,0.053,,211.0,0.9955,,,9.5,4
6.7,,,9.9,,10.0,,,,,11.4,2
7.2,,,10.4,0.05,,,0.9976,,,8.7,
5.5,0.35,,,0.045,14.0,,,,,9.9,4
6.7,,,,0.036,29.0,,0.9952,,,9.9,
,0.28,,,0.047,,162.0,0.9983,,0.51,,4
,0.16,0.22,1.4,0.04,,149.0,0.9933,3.49,,,
6.3,0.26,,7.2,,,,,,,9.7,
,0.22,,1.9,0.052,10.0,87.0,0.9922,,0.49,11.8,4
6.5,,,,,,127.0,0.9928,3.49,,10.2,
,0.46,,,0.05,76.0,192.0,,,,8.7,
7.0,,,13.6,,40.0,,,,0.52,,
9.2,0.25,,1.2,,31.0,93.0,0.9916,,0.37,11.3,5
,,,1.6,,32.0,118.0,0.9901,,0.38,12.1,5
,,,13.6,0.05,,168.0,,,0.52,9.6,5
,0.28,,1.6,,32.0,118.0,,,,,5
,,0.34,1.2,,,93.0,,,,,
,,0.71,12.2,,,160.0,,,0.65,9.4,
6.1,,0.24,,0.049,,,,3.32,0.5,,
5.9,0.21,,,0.044,53.0,165.0,0.9969,,0.39,,
7.2,,,4.2,0.047,,144.0,0.991,,,,
,0.21,0.42,9.1,,31.0,,,3.12,,,5
5.9,0.37,0.1,1.6,,,128.0,0.9924,,,10.1,3
7.7,0.34,,8.8,,39.0,184.0,,3.09,0.63,9.2,4
,,0.22,1.4,0.046,16.0,,,3.08,0.77,,
,0.51,,4.2,,38.0,,,,,,
,,0.38,,,,99.0,0.9967,3.12,,,
7.2,0.35,0.34,12.4,0.051,,37.0,0.9944,3.13,0.39,,
,,0.5,,,59.0,,0.9928,,,,
6.1,0.26,,,0.05,61.0,,0.9929,3.08,0.6,,4
6.5,0.28,0.27,,,,179.0,0.9948,,0.69,9.4,4
7.4,0.41,0.66,,0.051,,,0.9976,3.05,,8.7,3
,0.28,0.29,2.7,,,,0.9912,3.32,0.41,,5
,0.34,0.54,,0.047,,,0.9987,,0.56,,
,0.2,0.34,2.7,,,151.0,0.99,3.16,,12.7,
,,,1.9,0.035,39.0,,0.991,3.17,,11.7,5
8.2,0.22,0.3,,0.047,47.0,,0.9933,,,,
,,,1.8,,,187.0,0.9933,,,,
,0.22,0.33,2.8,,,,0.9899,,0.38,12.7,5
,0.28,0.29,,0.038,,107.0,0.9912,3.32,,,
,,,,0.034,42.0,134.0,,,,12.3,5
7.4,0.41,,,,,,,,,,
,,,4.2,,,111.0,0.994,3.35,,9.4,3
,0.3,,,,44.0,168.0,0.9947,3.13,,,
,,0.22,10.7,0.042,,81.0,,,,9.7,4
,0.25,,1.6,0.046,32.0,134.0,,,0.51,,5
7.4,0.24,0.22,10.7,0.042,,81.0,0.9954,2.86,,,
,,,7.9,,38.0,157.0,0.9963,,0.48,,4
,,0.25,1.7,0.034,,136.0,,3.47,,10.8,
6.9,0.28,0.27,2.1,0.036,,121.0,,,,,
7.0,0.23,0.33,5.8,0.04,,,0.995,,,9.5,4
,0.31,0.5,14.5,,,,,2.94,0.44,,
,0.2,,1.2,,,119.0,0.992,3.32,0.49,10.9,4
,0.41,,10.1,,28.0,152.0,,,,,3
,0.45,,,,10.0,131.0,,2.97,,,
6.4,0.475,,1.0,,,,0.9904,,,,
,0.27,0.38,0.9,,7.0,,,3.45,0.5,10.5,
,0.41,,10.1,,28.0,152.0,,3.2,0.52,9.4,3
,,,4.9,0.034,26.0,,,3.17,,10.8,
,,,,,,115.0,0.9949,,0.48,10.5,
6.9,0.19,0.4,1.4,0.036,14.0,,,3.08,0.68,,5
,0.3,,1.4,0.18,,160.0,,,,,
7.2,0.24,,1.4,0.045,,,0.9914,2.88,0.38,10.8,
,,,,,,131.0,0.9905,2.97,,,3
6.4,,,,,,131.0,,2.97,,10.8,3
,0.26,0.49,,0.052,34.0,134.0,,2.99,,9.8,4
,,0.49,,0.052,,134.0,0.9924,,,9.8,4
,0.25,0.29,7.5,0.049,38.0,,0.9965,3.43,0.38,9.6,
,,0.29,7.5,,,,,,,,
6.1,0.28,0.25,17.75,0.044,48.0,161.0,0.9993,,0.48,9.5,3
7.4,,0.35,5.7,0.061,,,0.9965,,,,4
,0.36,,3.2,0.037,29.0,119.0,0.9908,,0.65,,
7.4,0.24,,,,,,,3.09,0.39,,
7.5,0.23,0.68,11.0,,,133.0,0.9978,2.99,,8.8,
7.5,,0.68,10.9,,,133.0,,3.0,,,
,0.21,,10.9,,38.0,,,,0.36,,3
7.5,,,,0.047,,,0.9978,2.99,0.38,8.8,3
,,0.33,,0.037,18.0,101.0,0.9912,,0.65,,
7.8,0.26,0.27,,0.051,52.0,,,3.23,,,4
,,0.27,,0.051,52.0,190.0,0.9928,,0.5,,4
,,0.3,1.4,0.057,,,,,,,
6.5,0.46,,,0.084,59.0,222.0,,,,,3
6.5,0.26,0.43,8.9,,50.0,171.0,,,0.5,,3
,0.32,0.12,6.6,,22.0,,,,,,
7.2,0.24,0.34,,,3.0,,0.9913,3.23,0.51,,3
6.0,0.36,0.06,1.4,,,128.0,,3.26,,9.3,3
,,0.29,13.3,0.039,,,0.9952,,0.46,11.0,
,,,10.4,,,,0.9983,,,,2
7.0,0.32,0.24,6.2,0.048,,228.0,,,,9.4,4
,0.32,,6.2,0.048,31.0,228.0,0.9957,3.23,0.62,,4
5.8,0.31,,,0.036,23.0,,,,,10.5,
7.0,0.23,0.42,18.05,,,,0.9999,,0.42,8.8,3
,0.23,,,0.05,,144.0,,3.22,,8.8,
6.9,,,4.8,0.04,16.0,131.0,0.9936,,0.64,,
,0.29,0.2,,0.045,45.0,187.0,0.9972,3.33,0.42,,
,,0.28,4.5,0.033,,150.0,,3.43,,,4
5.9,,0.25,4.5,0.027,,140.0,,3.49,0.51,,4
6.2,,0.28,,,,,,,0.46,10.8,5
,0.28,0.25,,,,,0.9976,,,9.2,3
,0.35,0.14,,,48.0,,0.9937,,,,3
,,,5.8,0.046,,,0.9937,3.3,,10.3,3
,0.235,,,0.047,33.0,,,,,,
6.1,0.28,,,,34.0,189.0,0.9979,,0.43,9.0,
6.3,0.21,,13.9,0.046,,,,,0.5,10.4,4
6.4,,,11.5,0.05,,,0.9969,,0.45,9.5,
6.4,,0.29,11.4,0.051,,166.0,,,0.45,9.5,3
6.3,,,,,,,0.9961,,,,3
6.5,0.33,,,,7.0,151.0,,3.09,0.57,9.5,
7.4,,,12.2,0.05,,,0.9973,,0.37,,4
6.0,,,,,,,0.9944,,0.72,10.0,
7.1,,0.34,,0.067,35.0,,,3.07,,9.1,5
,,0.34,14.4,,35.0,189.0,,,,9.1,5
,0.26,,,0.067,,189.0,0.9986,,,,5
,0.26,,,0.067,,,0.9986,,0.53,9.1,5
,,0.26,12.3,,,,0.9972,3.34,,9.5,4
6.5,0.21,0.37,2.5,0.048,70.0,138.0,0.9917,3.33,,11.4,
,,,5.3,,30.0,,,3.11,,,4
,0.27,,4.9,0.028,27.0,,0.9932,,,11.3,4
7.3,,,,0.05,,136.0,0.9936,,,,
,0.27,0.25,3.1,0.052,,188.0,0.9915,3.24,,,3
,,,1.4,0.038,,,,3.15,,,2
,0.28,,,0.049,12.0,86.0,,3.15,0.38,,
6.8,0.25,0.34,,,47.0,,0.9952,3.37,,,
7.0,0.57,0.1,8.3,0.094,,,0.9972,,0.47,,2
7.1,,,,,,,0.9934,3.15,0.38,9.4,3
,0.17,,7.4,,,182.0,0.9958,,,9.6,4
,0.28,,1.4,0.056,,130.0,0.9944,,0.48,,
6.8,,,1.7,,38.0,,,3.35,0.72,12.5,4
7.1,0.17,0.38,7.4,,49.0,182.0,0.9958,,0.52,9.6,4
,,,1.3,0.047,37.0,,0.9925,,,10.0,
6.4,,0.5,,0.047,60.0,211.0,,,,,
,,0.26,,0.058,,199.0,,,0.55,,4
,,,,0.038,,,0.9912,,,,4
7.1,,,14.5,0.039,46.0,150.0,0.995,,,12.5,6
,,0.3,,,18.0,130.0,0.9928,,,10.6,4
,,0.5,10.7,,,,,3.08,0.6,,
6.1,0.28,0.25,,,44.0,201.0,0.9955,3.19,0.4,,
5.9,0.29,0.25,,,,224.0,0.9981,,0.41,9.0,4
,,0.38,,,23.0,,0.991,,0.42,,
,0.32,,4.75,,,94.0,0.991,,,,5
,0.32,,,0.033,23.0,94.0,0.991,,0.42,11.8,
6.7,,0.14,1.4,,,159.0,,,0.39,,
,0.34,,1.3,,,,,3.06,0.47,,
,,0.25,11.3,0.052,30.0,165.0,0.997,,,9.5,
,,,4.5,0.24,,174.0,,,,9.4,3
,0.46,,,0.052,50.0,183.0,0.9923,3.03,,,
6.2,,,13.2,0.051,,,0.9976,,,,3
,,0.35,5.5,,21.0,114.0,,3.3,0.53,10.7,5
,,,,,,193.0,,,,,
,0.28,,,,61.0,222.0,,3.14,,9.1,
6.7,0.17,0.37,2.0,,,,0.9922,,,,
,0.2,0.34,1.9,0.043,25.0,136.0,0.9935,3.31,,10.1,
6.1,,0.16,6.4,0.037,,198.0,,,0.62,,
6.0,,0.16,6.3,0.036,36.0,,0.9942,,0.62,9.8,3
5.9,,,6.3,0.036,34.0,185.0,0.9944,,,9.8,
,,0.58,17.5,,,,,3.16,,9.5,
,0.34,,14.7,0.047,,,,3.23,,9.5,
6.7,0.19,,,0.022,22.0,,0.9912,,,11.1,4
,,0.51,14.8,0.039,,,,,,9.5,
7.5,0.31,,,,,204.0,0.9982,,0.6,,3
7.4,0.31,,,,,,,,,9.4,3
,,,,,29.0,,0.998,,,9.7,3
,,0.22,2.4,,19.0,,,,,13.9,5
,0.38,0.18,1.2,,20.0,84.0,0.9927,,0.45,,2
6.4,,0.28,,0.038,30.0,,0.9917,,,,4
5.6,,0.26,,,,,,,0.5,,4
,0.27,0.46,,0.032,,,0.993,,,,
,0.31,0.21,6.3,0.041,50.0,,,,,10.0,
7.2,0.18,0.45,4.4,0.046,57.0,,,,,11.2,4
,0.2,,13.9,,44.0,,0.99855,,,10.0,
,,,,,,,,3.14,0.46,,3
6.1,0.25,0.24,12.1,0.046,51.0,,,3.35,,9.5,3
,0.27,,1.6,0.035,31.0,,,,0.5,12.3,4
,0.27,,,,,,,,0.5,,
6.4,0.31,,7.5,0.04,57.0,213.0,0.99475,3.32,,,
6.0,,,,0.038,,,0.99325,3.41,0.5,,4
,,,1.7,0.038,41.0,,0.9933,3.49,,,5
,0.42,0.31,,0.048,,221.0,0.9969,3.06,,9.2,
,,0.41,18.75,,34.0,,1.0002,,,,
6.2,0.21,,,0.038,41.0,150.0,,3.49,0.71,,5
,,,1.8,,35.0,127.0,,3.45,,,5
6.6,,0.44,9.0,,,,,3.02,0.45,8.9,3
,0.3,0.44,1.5,0.046,15.0,,0.99455,,,,
,0.31,0.34,1.6,,23.0,128.0,0.9917,,,,
6.6,,0.31,1.3,0.02,29.0,,,,0.44,,
,,0.4,1.8,,,122.0,,3.14,,,
,,,,,35.0,136.0,0.99225,,0.46,,3
6.4,,0.31,2.8,0.038,41.0,,0.99155,,,,
7.0,0.21,0.34,,0.057,19.0,,,2.99,,,
6.4,0.16,,5.3,0.043,,,0.99455,,,10.5,3
,0.33,,,0.185,,188.0,0.9924,,0.62,,3
,,,13.8,0.042,25.0,139.0,,,,10.4,
6.2,0.25,,,0.044,,,,3.25,0.47,9.5,4
,,0.45,6.0,,14.0,49.0,,3.01,,,
6.6,0.25,,14.4,,,,,3.02,,,
6.9,0.38,0.25,9.8,,28.0,191.0,,,,,
,,0.3,5.5,,,,0.9948,3.14,0.49,,4
,0.25,0.3,14.4,0.052,40.0,,0.998,3.02,0.5,9.1,
,0.38,0.25,,0.04,28.0,191.0,0.9971,,,9.2,
,0.21,0.31,,,,,,3.17,0.39,10.8,
,0.25,,,0.038,15.0,,0.9948,3.14,,9.6,
6.9,0.39,,4.6,0.022,5.0,,,3.31,0.37,,1
,0.2,0.3,1.5,0.031,21.0,57.0,0.99115,3.44,0.55,11.0,4
,,0.37,,0.03,,,,3.28,0.61,10.2,4
5.9,0.26,,,0.034,38.0,,0.9977,3.33,,9.4,3
,0.38,0.27,7.5,0.041,24.0,160.0,0.99535,3.17,,,3
,,1.66,,,,113.0,,,,12.2,4
,0.21,0.34,8.5,0.033,31.0,,,3.22,0.56,,4
7.2,,,7.6,,56.0,177.0,0.9928,,,11.5,4
6.9,,,,0.049,,,,,,,4
7.3,0.3,,,0.025,,175.0,0.9928,,,,
,,0.4,,0.024,,177.0,0.9928,3.04,,11.5,
,,,10.0,0.036,,167.0,,,0.55,,
,,0.42,,,83.0,160.0,0.9987,3.16,,,4
7.0,0.21,,,0.033,,253.0,,,,10.5,
5.9,0.35,0.47,,,14.0,,0.9932,3.09,,,
,,0.44,,0.032,,107.0,,,0.48,12.2,
,,0.28,11.1,,,175.0,0.99755,3.42,,,3
,,0.37,,,,178.0,,3.4,0.85,,
,0.14,,1.2,,55.0,,0.9932,3.3,,9.8,5
,,,,,,134.0,,,,9.8,
6.9,,,8.1,,44.0,,,3.3,0.54,9.8,4
,0.2,0.38,,0.05,42.0,,,3.3,0.54,9.8,4
,0.24,0.49,,,,,1.00055,,0.56,,3
,,0.04,18.6,0.039,,,0.9985,3.37,0.57,,
,,,,,,,,3.22,0.69,9.5,4
,0.27,0.42,1.6,,35.0,135.0,,2.94,0.46,11.0,
,0.5,0.63,,,81.0,238.0,0.9988,,0.44,,3
,,,,,,,0.99175,,,10.9,
,0.11,0.34,8.8,,,,,3.42,,9.3,5
6.7,,,,,,,0.9962,,0.4,,5
6.8,,,,,,,0.9942,3.41,,9.8,5
6.6,,0.57,,0.13,,140.0,,3.12,,9.3,5
6.6,0.21,,,0.135,61.0,144.0,0.9927,,,,5
6.1,0.27,0.3,16.7,,49.0,172.0,0.99985,3.4,,9.4,
9.1,,0.45,10.6,0.035,,124.0,0.997,3.2,,10.4,
,0.225,0.48,,0.115,,,0.9918,,,12.1,
8.3,,,,,,,0.99215,3.02,0.56,11.0,4
7.2,,,13.7,0.052,47.0,,0.99865,,0.53,9.0,3
,,,,0.053,,178.0,0.9992,3.37,0.82,,5
,,0.44,14.1,0.053,,,,3.28,,8.8,
,,0.0,,0.042,7.0,,,3.37,0.38,,
7.8,,,,0.056,44.0,,,3.08,0.61,9.3,
,0.22,,15.0,0.053,59.0,178.0,0.9992,,0.82,9.5,
8.1,,,14.1,0.053,,,,3.28,,8.8,6
,0.23,,13.7,0.052,47.0,,0.99865,3.12,,9.0,3
,0.3,0.27,,0.039,31.0,,,,0.3,,4
,,0.28,,0.04,31.0,,,3.27,0.29,,4
,0.34,,11.0,,,,0.99815,3.27,,9.2,
,0.34,0.16,,0.037,26.0,,0.9949,3.46,0.45,10.0,
7.6,,0.27,,0.039,,,0.99815,3.27,,9.3,4
7.7,,,11.0,0.04,31.0,,0.99815,3.27,,9.2,4
5.9,0.24,0.3,2.0,0.033,,,,,,,5
6.4,,,,,,144.0,0.99445,3.1,,,
5.9,0.24,,2.0,0.033,28.0,92.0,0.99225,,,,
7.4,,0.27,,,,,,3.03,0.52,9.3,3
7.2,,,7.3,0.05,,,0.99625,3.09,0.43,9.0,
,0.42,,,0.054,42.0,,0.9971,,0.58,,
,0.24,0.33,12.5,,,153.0,0.9983,3.28,,9.6,
,0.18,,4.8,0.041,30.0,113.0,,3.42,0.4,9.4,
,0.18,,1.4,0.036,,,0.99085,3.34,0.58,,
7.8,,0.58,,0.036,44.0,161.0,0.9977,3.06,,,4
,,0.49,6.8,0.048,61.0,,,,0.47,9.3,3
,,,11.6,,57.0,,,3.07,0.53,,3
,,,11.4,,46.0,,0.99795,3.41,0.44,,
7.3,,0.34,,,24.0,,0.99505,3.22,,,
,,0.58,11.2,,,,,,0.41,8.9,
,0.31,,13.2,0.046,57.0,,0.9975,3.17,0.41,9.6,
,0.29,,,,,204.0,0.99745,,0.41,9.6,
,,,,,,,0.9976,3.15,,9.0,4
6.2,0.3,0.26,,,57.0,,0.99775,3.17,,,
6.0,,0.49,6.8,,61.0,222.0,,,,,3
,0.41,,1.5,0.063,,120.0,0.9932,3.21,0.56,,4
6.4,0.35,0.28,,,9.0,,,3.42,,,
6.5,,,16.5,0.045,44.0,166.0,,3.38,0.46,,4
7.9,0.35,,15.6,0.072,44.0,,,3.03,0.59,10.5,
6.2,,,2.8,0.04,24.0,,0.9939,,,9.0,
8.4,,0.42,,,,,0.9939,,,,3
,0.56,,8.9,,27.0,,0.99675,,,9.1,
,0.3,,,0.04,24.0,125.0,,,0.46,,
,,0.22,,,,,,3.2,,9.1,3
6.6,0.36,,1.6,,,85.0,,3.41,0.61,,7
,0.655,0.2,,,,212.0,0.9971,2.96,,9.2,4
6.8,0.18,,5.4,,34.0,104.0,,,,,3
,,,6.2,,,117.0,,,0.43,,4
,0.18,0.42,,,7.0,,0.9939,3.16,0.52,,
,0.21,0.37,,0.042,36.0,,,,,9.8,
6.8,,,8.1,0.046,,,,,,,4
,0.24,0.36,2.0,,,139.0,0.99055,3.28,0.48,,7
7.1,0.16,,,0.044,,,0.9959,3.16,,,
7.1,0.16,0.36,,,,90.0,,3.16,0.42,,5
7.3,,0.31,1.7,0.06,34.0,,0.9963,3.72,0.69,,4
7.4,0.17,,,,,161.0,0.9935,,,11.5,
,,0.34,,,,108.0,0.99105,,0.53,,6
6.9,0.25,0.34,1.3,0.035,27.0,,0.99045,,,,4
,0.205,0.31,1.7,0.06,,110.0,0.9963,,,,4
,0.42,0.34,,,,108.0,0.99155,3.14,0.45,,
,,,,,,,0.99085,3.25,0.4,11.9,
7.3,0.25,,2.1,,30.0,,0.99085,3.25,0.4,,
,,,2.1,,30.0,,0.99085,3.25,0.4,11.9,
,0.34,,6.0,0.034,,126.0,,,,,
7.6,0.33,,,,,126.0,0.9924,,0.39,,5
,0.23,,13.4,,,,,3.12,,,5
8.7,,,13.4,,,169.0,0.99975,,,,
,0.19,,1.7,,33.0,,,3.21,0.54,10.8,5
7.3,0.21,,,,,,,3.3,,11.0,6
,0.21,0.29,1.6,,29.0,,0.9917,3.3,,,6
6.6,0.22,0.37,,0.035,,,,3.02,,,
,0.34,,1.2,,,,0.9921,3.08,0.39,,
8.7,0.23,0.32,,,,169.0,0.99975,,0.47,8.8,
6.0,,0.24,1.8,0.03,30.0,,,,0.47,,4
,,0.35,1.7,0.036,,,,,,,
8.2,0.38,0.49,,,,166.0,0.99855,,,,3
6.9,0.18,,,0.036,40.0,117.0,0.9934,,0.95,9.5,5
7.7,,0.58,11.1,,,,,,,8.6,3
,,0.36,,0.036,,117.0,0.9934,3.27,,9.5,
7.4,,,2.1,0.038,,,,3.49,0.77,10.3,5
,,,,0.042,58.0,166.0,,3.1,0.54,9.4,3
,0.4,0.48,13.7,,,169.0,0.9986,,,,
6.7,,0.39,,,,,,,0.54,10.0,5
,0.3,,,,60.0,166.0,0.9946,,0.47,9.4,
8.1,0.27,,,,38.0,103.0,0.99255,,,,
,0.25,0.42,,,57.0,182.0,,3.29,0.75,9.1,5
4.8,0.34,,6.5,0.028,33.0,,,,0.61,,
6.2,0.28,,1.7,0.029,24.0,111.0,,,0.5,,
4.8,,,,,,,0.9937,,,9.9,3
,0.27,,2.2,0.021,26.0,,,,0.3,12.5,4
6.9,0.18,0.36,,0.036,,,0.9934,,0.95,9.5,
7.8,0.18,0.46,12.6,0.042,41.0,,1.0,,,,6
7.3,0.28,0.42,,0.04,49.0,173.0,0.9994,3.28,0.82,,5
7.3,0.24,0.29,,0.037,,97.0,0.9926,3.19,0.7,10.1,
,,0.65,,0.08,,,,3.04,0.48,,3
7.7,0.34,0.58,11.1,0.039,41.0,,,,,8.6,
,0.26,,4.0,,24.0,125.0,0.9915,3.06,,10.7,
10.3,,0.47,1.4,0.037,,,,2.89,0.28,,
,0.15,0.29,,0.029,10.0,,,3.35,0.39,10.1,
7.1,0.21,,,0.037,,141.0,0.993,3.2,0.57,,
6.9,0.36,0.34,4.2,,,119.0,0.9898,,0.36,12.7,
6.0,0.28,0.34,1.6,,,104.0,,3.19,0.38,,4
6.2,,,1.4,,37.0,110.0,,3.23,0.37,,4
,,,,0.037,18.0,,,3.41,0.82,,6
7.1,,0.32,2.2,0.037,,,0.993,3.2,0.57,10.0,
8.8,0.36,0.44,,,9.0,,,3.19,,,4
7.4,,0.43,6.0,,22.0,,0.9928,3.13,,,
,,0.43,6.0,0.022,22.0,125.0,0.9928,3.13,0.55,,4
,,,,,,236.0,0.9976,3.35,,,4
,0.34,,,0.024,20.0,105.0,,,,12.2,
7.3,,0.31,1.6,0.04,,173.0,,3.19,0.51,,4
6.5,,,,,,,0.99185,3.37,,,
,,,,,39.0,,,3.19,,11.4,4
6.5,,0.32,,0.044,34.0,90.0,0.99185,,,11.0,5
5.0,,,6.4,,43.0,,,3.3,0.63,9.9,4
5.8,,0.18,1.2,,40.0,,,,,,5
5.9,0.26,,,,,,,3.58,0.48,9.4,
,,,1.4,,33.0,,,3.12,,12.2,
,,,1.2,0.031,40.0,,0.9908,3.42,0.4,11.0,
,0.19,0.39,1.1,0.043,,67.0,,,,,4
,0.18,0.28,8.7,,52.0,242.0,0.9952,3.22,0.53,10.5,4
7.0,,,1.6,0.044,12.0,,,,,,4
,0.26,0.29,1.4,0.039,,67.0,0.9915,3.05,,10.9,
,,,8.5,,,242.0,,,0.53,,
,0.2,,,,30.0,145.0,0.9947,3.32,,11.0,5
8.0,,0.29,13.2,,26.0,,,3.25,,9.7,4
6.1,,,12.8,,63.0,,0.9975,3.08,0.4,8.9,
,0.31,,7.7,0.047,,206.0,0.995,3.2,0.39,,4
6.9,,0.28,2.4,0.056,49.0,,0.9944,3.02,,8.8,
,,0.42,,0.047,9.0,101.0,,,,,2
8.3,0.27,,1.3,0.048,8.0,,0.9944,,,10.3,
,0.25,0.39,,,30.0,124.0,,3.28,0.43,12.2,6
,0.23,0.37,,,23.0,,0.99795,,,,
7.5,,0.31,,,,217.0,,3.08,,,3
6.3,,0.2,5.8,,,,,3.15,,9.9,
6.2,,0.19,5.6,0.042,,143.0,,,0.63,,3
,0.34,,5.8,0.041,22.0,145.0,0.9943,,0.63,9.9,3
5.8,0.29,,0.8,,11.0,,0.9924,,,9.2,3
8.0,,0.26,,0.05,11.5,,,3.24,0.37,9.5,2
5.6,0.29,0.05,,,,,0.9924,3.36,0.35,,3
,,0.39,,0.042,,137.0,,,,10.3,
7.7,0.3,0.32,,,23.0,,0.9919,2.93,,11.0,
,0.24,,1.4,,,107.0,0.99,,0.39,,4
8.6,,0.4,1.1,,20.0,,,,0.32,,5
,,0.32,4.6,0.057,59.0,144.0,,,,,
,0.32,0.62,,,56.0,153.0,0.9978,,,8.9,4
,0.32,,10.6,0.036,,153.0,,3.13,0.44,,
,,0.27,12.9,0.044,,215.0,,,0.43,10.0,4
7.9,,0.41,2.0,0.044,,152.0,0.9934,3.45,0.49,10.7,6
6.3,,0.23,2.9,,13.0,,0.9936,3.28,0.43,,
,,,,,,80.0,,,,,3
6.7,,,,,52.0,,,,0.48,9.5,5
,,,12.0,,,,0.998,,,,
,0.36,,15.0,,,115.0,0.9978,,,,3
7.7,0.17,,,0.017,21.0,84.0,0.9929,,,,5
6.4,0.26,0.43,,0.033,,,,,0.38,,3
6.5,0.26,0.28,12.5,0.046,,,,,,10.0,
5.9,,0.33,,0.037,58.0,205.0,,3.26,0.41,,
,,,,0.039,64.0,233.0,,,,8.9,
6.1,0.27,0.44,6.7,0.041,,230.0,,,,8.9,
,,,1.4,,10.0,,0.992,,,11.4,3
6.1,,,15.0,,42.0,115.0,,3.15,,9.0,3
6.2,,,,0.044,,244.0,,3.36,0.55,10.0,4
,0.24,,,,,194.0,,3.06,0.47,,5
6.2,,,7.5,0.034,40.0,,0.99485,3.14,0.6,9.7,3
6.3,,,,0.037,61.0,212.0,0.9971,,0.53,,
,,,1.6,0.039,,,,3.54,,10.0,
