,name,addr,city,phone,type,class
437,pen & pencil,205 e. 45th st.,?,212/682-8660,?,?
438,penang soho,109 spring st.  between greene and mercer sts.,?,212/274-8883,asian,326
439,persepolis,1423 2nd ave.  between 74th and 75th sts.,?,212/535-1100,?,?
440,planet hollywood,140 w. 57th st.,new york,212/333-7827,american,?
441,pomaire,371 w. 46th st.  off 9th ave.,?,?,latin american,?
442,popover cafe,551 amsterdam ave.  between 86th and 87th sts.,?,?,american,?
443,post house,28 e. 63rd st.,?,?,american,?
444,rain,100 w. 82nd st.,new york,?,?,332
445,red tulip,439 e. 75th st.,?,?,eastern european,?
446,remi,145 w. 53rd st.,?,?,?,?
447,republic,37a union sq. w  between 16th and 17th sts.,?,?,asian,?
448,roettelle a. g,126 e. 7th st.  between 1st ave. and ave. a,new york,?,continental,336
449,rosa mexicano,1063 1st ave. at 58th st.,new york,212/753-7407,?,?
450,ruth's chris,148 w. 51st st.,?,?,?,?
451,s.p.q.r,133 mulberry st.  between hester and grand sts.,?,212/925-3120,italian,?
452,sal anthony's,55 irving pl.,?,?,italian,?
453,sammy's roumanian steak house,157 chrystie st. at delancey st.,?,212/673-0330,?,?
454,san pietro,18 e. 54th st.,new york,212/753-9015,italian,?
455,sant ambroeus,1000 madison ave.  between 77th and 78th sts.,?,?,coffee bar,?
456,sarabeth's kitchen,423 amsterdam ave.  between 80th and 81st sts.,new york,?,?,?
457,sea grill,19 w. 49th st.,?,?,?,?
458,serendipity,3 225 e. 60th st.,?,212/838-3531,?,346
459,seventh regiment mess and bar,643 park ave. at 66th st.,?,?,?,?
460,sfuzzi,58 w. 65th st.,new york,212/873-3700,american,348
461,shaan,57 w. 48th st.,new york,?,asian,?
462,sofia fabulous pizza,1022 madison ave.  near 79th st.,new york,?,?,?
463,spring street natural restaurant & bar,62 spring st. at lafayette st.,new york,212/966-0290,?,351
464,stage deli,834 7th ave.  between 53rd and 54th sts.,?,212/245-7850,delicatessen,?
465,stingray,428 amsterdam ave.  between 80th and 81st sts.,new york,212/501-7515,?,?
466,sweet'n'tart cafe,76 mott st. at canal st.,new york,?,asian,?
467,t salon,143 mercer st. at prince st.,?,?,coffee bar,355
468,tang pavillion,65 w. 55th st.,new york,?,asian,?
469,tapika,950 8th ave. at 56th st.,?,?,?,357
470,teresa's,103 1st ave.  between 6th and 7th sts.,?,?,east european,?
471,terrace,400 w. 119th st.  between amsterdam and morningside aves.,new york,?,?,359
472,the coffee pot,350 9th ave. at 49th st.,?,212/265-3566,coffee bar,?
473,the savannah club,2420 broadway at 89th st.,?,?,american,?
474,trattoria dell'arte,900 7th ave.  between 56th and 57th sts.,?,?,?,362
475,triangolo,345 e. 83rd st.,new york,212/472-4488,?,?
476,tribeca grill,375 greenwich st.  near franklin st.,?,?,american,364
477,trois jean,154 e. 79th st.  between lexington and 3rd aves.,?,?,coffee bar,365
478,tse yang,34 e. 51st st.,?,?,?,?
479,turkish kitchen,386 3rd ave.  between 27th and 28th sts.,?,?,middle eastern,367
480,two two two,222 w. 79th st.,new york,?,american,368
481,veniero's pasticceria,342 e. 11th st.  near 1st ave.,?,?,?,?
482,verbena,54 irving pl. at 17th st.,new york,?,?,?
483,victor's cafe,52 236 w. 52nd st.,new york,?,?,?
484,vince & eddie's,70 w. 68th st.,?,212/721-0068,american,?
485,vong,200 e. 54th st.,new york,?,?,?
486,water club,500 e. 30th st.,?,212/683-3333,?,?
487,west,63rd street steakhouse 44 w. 63rd st.,new york,?,?,?
488,xunta,174 1st ave.  between 10th and 11th sts.,new york,212/614-0620,?,?
489,zen palate,34 union sq. e at 16th st.,?,?,?,?
490,zoe,90 prince st.  between broadway and mercer st.,?,212/966-6722,?,378
491,abbey,163 ponce de leon ave.,?,404/876-8532,?,379
492,aleck's barbecue heaven,783 martin luther king jr. dr.,?,?,?,?
493,annie's thai castle,3195 roswell rd.,atlanta,?,asian,?
494,anthonys,3109 piedmont rd.  just south of peachtree rd.,?,?,?,?
495,atlanta fish market,265 pharr rd.,?,404/262-3165,?,383
496,beesley's of buckhead,260 e. paces ferry road,?,?,continental,?
497,bertolini's,3500 peachtree rd.  phipps plaza,atlanta,404/233-2333,italian,385
498,bistango,1100 peachtree st.,?,404/724-0901,?,?
499,cafe renaissance,7050 jimmy carter blvd.  norcross,?,770/441--0291,?,?
500,camille's,1186 n. highland ave.,?,404/872-7203,?,?
501,cassis,3300 peachtree rd.  grand hyatt,?,?,mediterranean,389
502,city grill,50 hurt plaza,?,?,?,?
503,coco loco,40  buckhead crossing mall on the sidney marcus blvd.,?,404/364-0212,caribbean,391
504,colonnade restaurant,1879 cheshire bridge rd.,?,404/874-5642,?,?
505,dante's down the hatch  buckhead,3380 peachtree rd.,atlanta,404/266-1600,?,393
506,dante's down the hatch,underground underground mall  underground atlanta,?,404/577-1800,?,?
507,fat matt's rib shack,1811 piedmont ave.  near cheshire bridge rd.,atlanta,404/607-1622,?,?
508,french quarter food shop,923 peachtree st.  at 8th st.,?,404/875-2489,southern,?
509,holt bros. bar-b-q,6359 jimmy carter blvd.  at buford hwy.  norcross,atlanta,?,?,397
510,horseradish grill,4320 powers ferry rd.,atlanta,?,?,?
511,hsu's gourmet,192 peachtree center ave.  at international blvd.,?,404/659-2788,?,399
512,imperial fez,2285 peachtree rd.  peachtree battle condominium,?,?,?,?
513,kamogawa,3300 peachtree rd.  grand hyatt,atlanta,404/841-0314,?,401
514,la grotta at ravinia dunwoody rd.,holiday inn/crowne plaza at ravinia  dunwoody,atlanta,?,italian,402
515,little szechuan,c buford hwy.  northwoods plaza  doraville,?,?,?,403
516,lowcountry barbecue,6301 roswell rd.  sandy springs plaza  sandy springs,?,?,?,?
517,luna si,1931 peachtree rd.,?,404/355-5993,?,?
518,mambo restaurante cubano,1402 n. highland ave.,?,?,?,?
519,mckinnon's louisiane,3209 maple dr.,?,?,?,?
520,mi spia dunwoody rd.,park place  across from perimeter mall  dunwoody,atlanta,?,italian,?
521,nickiemoto's: a sushi bar,247 buckhead ave.  east village sq.,?,?,fusion,409
522,palisades,1829 peachtree rd.,?,404/350-6755,?,410
523,pleasant peasant,555 peachtree st.  at linden ave.,?,404/874-3223,?,?
524,pricci,500 pharr rd.,?,404/237-2941,?,412
525,r.j.'s uptown kitchen & wine bar,870 n. highland ave.,atlanta,404/875-7775,?,413
526,rib ranch,25 irby ave.,?,404/233-7644,?,414
527,sa tsu ki,3043 buford hwy.,atlanta,?,?,?
528,sato sushi and thai,6050 peachtree pkwy.  norcross,?,?,asian,?
529,south city kitchen,1144 crescent ave.,?,404/873-7358,southern,?
530,south of france,2345 cheshire bridge rd.,?,?,?,418
531,stringer's fish camp and oyster bar,3384 shallowford rd.  chamblee,?,770/458-7145,southern,419
532,sundown cafe,2165 cheshire bridge rd.,?,?,?,?
533,taste of new orleans,889 w. peachtree st.,atlanta,?,?,?
534,tomtom,3393 peachtree rd.,?,404/264-1163,?,422
535,antonio's,3700 w. flamingo,?,?,italian,?
536,bally's big kitchen,3645 las vegas blvd. s,las vegas,702/739-4111,?,424
537,bamboo garden,4850 flamingo rd.,las vegas,702/871-3262,asian,425
538,battista's hole in the wall,4041 audrie st. at flamingo rd.,?,702/732-1424,italian,426
539,bertolini's,3570 las vegas blvd. s,las vegas,702/735-4663,italian,427
540,binion's coffee shop,128 fremont st.,?,?,?,?
541,bistro,3400 las vegas blvd. s,?,?,?,?
542,broiler,4111 boulder hwy.,?,?,?,?
543,bugsy's diner,3555 las vegas blvd. s,?,?,coffee shops/diners,431
544,cafe michelle,1350 e. flamingo rd.,?,702/735-8686,american,?
545,cafe roma,3570 las vegas blvd. s,las vegas,?,?,433
546,capozzoli's,3333 s. maryland pkwy.,?,?,?,434
547,carnival world,3700 w. flamingo rd.,?,?,?,?
548,center stage plaza hotel,1 main st.,las vegas,?,american,?
549,circus circus,2880 las vegas blvd. s,las vegas,702/734-0410,?,437
550,empress court,3570 las vegas blvd. s,las vegas,?,?,?
551,feast,2411 w. sahara ave.,las vegas,?,?,439
552,golden nugget hotel,129 e. fremont st.,?,?,buffets,440
553,golden steer,308 w. sahara ave.,?,?,steak houses,441
554,lillie langtry's,129 e. fremont st.,?,702/385-7111,asian,442
555,mandarin court,1510 e. flamingo rd.,las vegas,?,asian,443
556,margarita's mexican cantina,3120 las vegas blvd. s,?,702/794-8200,?,444
557,mary's diner,5111 w. boulder hwy.,?,702/454-8073,coffee shops/diners,?
558,mikado,3400 las vegas blvd. s,las vegas,?,asian,?
559,pamplemousse,400 e. sahara ave.,?,?,continental,447
560,ralph's diner,3000 las vegas blvd. s,las vegas,?,?,?
561,the bacchanal,3570 las vegas blvd. s,?,?,?,449
562,venetian,3713 w. sahara ave.,las vegas,?,?,450
563,viva mercado's,6182 w. flamingo rd.,las vegas,702/871-8826,?,?
564,yolie's,3900 paradise rd.,?,702/794-0700,steak houses,452
565,2223,2223 market st.,?,?,?,?
566,acquarello,1722 sacramento st.,san francisco,?,?,454
567,bardelli's,243 o'farrell st.,san francisco,415/982-0243,old san francisco,?
568,betelnut,2030 union st.,?,?,?,?
569,bistro roti,155 steuart st.,san francisco,415/495-6500,french,457
570,bix,56 gold st.,san francisco,?,?,458
571,bizou,598 fourth st.,?,?,?,?
572,buca giovanni,800 greenwich st.,san francisco,?,?,?
573,cafe adriano,3347 fillmore st.,?,415/474-4180,?,461
574,cafe marimba,2317 chestnut st.,san francisco,?,?,?
575,california culinary academy,625 polk st.,?,415/771-3500,french,?
576,capp's corner,1600 powell st.,?,415/989-2589,?,?
577,carta,1772 market st.,?,?,american,?
578,chevys,4th and howard sts.,san francisco,?,mexican/latin american/spanish,?
579,cypress club,500 jackson st.,san francisco,?,?,467
580,des alpes,732 broadway,san francisco,415/788-9900,?,?
581,faz,161 sutter st.,san francisco,?,greek and middle eastern,469
582,fog city diner,1300 battery st.,?,415/982-2000,?,470
583,garden court,market and new montgomery sts.,?,?,?,471
584,gaylord's,ghirardelli sq.,san francisco,?,asian,?
585,grand cafe hotel monaco,501 geary st.,?,?,american,473
586,greens,bldg. a fort mason,?,415/771-6222,?,474
587,harbor village,4 embarcadero center,?,415/781-8833,asian,475
588,harris',2100 van ness ave.,san francisco,?,?,?
589,harry denton's,161 steuart st.,san francisco,?,?,477
590,hayes street grill,320 hayes st.,?,?,?,478
591,helmand,430 broadway,san francisco,?,?,?
592,hong kong flower lounge,5322 geary blvd.,san francisco,415/668-8998,asian,?
593,hong kong villa,2332 clement st.,?,?,?,?
594,hyde street bistro,1521 hyde st.,?,415/441-7778,italian,482
595,il fornaio levi's plaza,1265 battery st.,san francisco,?,italian,?
596,izzy's steak & chop house,3345 steiner st.,san francisco,415/563-0487,?,484
597,jack's,615 sacramento st.,san francisco,?,old san francisco,485
598,kabuto sushi,5116 geary blvd.,?,?,?,?
599,katia's,600 5th ave.,?,?,?,?
600,kuleto's,221 powell st.,?,?,?,488
601,kyo-ya. sheraton palace hotel,2 new montgomery st.  at market st.,?,?,asian,?
602,l'osteria del forno,519 columbus ave.,?,?,?,?
603,le central,453 bush st.,san francisco,?,?,?
604,le soleil,133 clement st.,?,?,?,492
605,macarthur park,607 front st.,?,?,american,?
606,manora,3226 mission st.,?,?,?,?
607,maykadeh,470 green st.,?,415/362-8286,?,?
608,mccormick & kuleto's,ghirardelli sq.,?,?,?,496
609,millennium,246 mcallister st.,san francisco,?,?,497
610,moose's,1652 stockton st.,?,?,?,?
611,north india,3131 webster st.,san francisco,415/931-1556,?,499
612,one market,1 market st.,?,?,american,500
613,oritalia,1915 fillmore st.,?,415/346-1333,?,?
614,pacific pan pacific hotel,500 post st.,?,?,?,?
615,palio d'asti,640 sacramento st.,?,415/395-9800,?,?
616,pane e vino,3011 steiner st.,?,415/346-2111,italian,?
617,pastis,1015 battery st.,san francisco,?,?,?
618,perry's,1944 union st.,?,?,american,?
619,r&g lounge,631 b kearny st.,?,?,or 415/982-3811 asian,507
620,rubicon,558 sacramento st.,san francisco,415/434-4100,?,508
621,rumpus,1 tillman pl.,san francisco,415/421-2300,american,?
622,sanppo,1702 post st.,?,415/346-3486,asian,510
623,scala's bistro,432 powell st.,san francisco,?,italian,?
624,south park cafe,108 south park,?,415/495-7275,?,512
625,splendido embarcadero,4,san francisco,?,?,513
626,stars,150 redwood alley,san francisco,?,american,514
627,stars cafe,500 van ness ave.,san francisco,415/861-4344,american,?
628,stoyanof's cafe,1240 9th ave.,?,415/664-3664,?,516
629,straits cafe,3300 geary blvd.,?,?,?,?
630,suppenkuche,601 hayes st.,?,?,russian/german,?
631,tadich grill,240 california st.,san francisco,415/391-2373,?,?
632,the heights,3235 sacramento st.,?,?,?,?
633,thepin,298 gough st.,san francisco,?,asian,?
634,ton kiang,3148 geary blvd.,?,?,?,?
635,vertigo,600 montgomery st.,san francisco,415/433-7250,?,523
636,vivande porta via,2125 fillmore st.,san francisco,415/346-4430,italian,?
637,vivande ristorante,670 golden gate ave.,?,415/673-9245,italian,?
638,world wrapps,2257 chestnut st.,san francisco,?,?,?
639,wu kong,101 spear st.,?,?,?,?
640,yank sing,427 battery st.,?,415/541-4949,asian,528
641,yaya cuisine,1220 9th ave.,san francisco,415/566-6966,greek and middle eastern,?
642,yoyo tsumami bistro,1611 post st.,?,415/922-7788,?,?
643,zarzuela,2000 hyde st.,san francisco,?,mexican/latin american/spanish,?
644,zuni cafe & grill,1658 market st.,?,?,mediterranean,532
645,apple pan  the,10801 w. pico blvd.,?,310-475-3585,?,?
646,asahi ramen,2027 sawtelle blvd.,?,?,noodle shops,?
647,baja fresh,3345 kimber dr.,?,805-498-4049,?,536
648,belvedere  the,9882 little santa monica blvd.,?,310-788-2306,?,?
649,benita's frites,1433 third st. promenade,santa monica,310-458-2889,?,?
650,bernard's,515 s. olive st.,?,213-612-1580,continental,?
651,bistro 45,45 s. mentor ave.,?,?,californian,540
652,brent's deli,19565 parthenia ave.,northridge,?,delis,?
653,brighton coffee shop,9600 brighton way,?,?,?,?
654,bristol farms market cafe,1570 rosecrans ave. s.,?,?,californian,543
655,bruno's,3838 centinela ave.,?,?,italian,?
656,cafe '50s,838 lincoln blvd.,?,?,american,545
657,cafe blanc,9777 little santa monica blvd.,?,?,pacific new wave,?
658,cassell's,3266 w. sixth st.,la,?,?,?
659,chez melange,1716 pch,redondo beach,?,eclectic,548
660,diaghilev,1020 n. san vicente blvd.,?,310-854-1111,?,?
661,don antonio's,1136 westwood blvd.,westwood,?,?,550
662,duke's,8909 sunset blvd.,?,?,coffee shops,?
663,falafel king,1059 broxton ave.,?,?,?,?
664,feast from the east,1949 westwood blvd.,?,310-475-0400,chinese,?
665,gumbo pot  the,6333 w. third st.,?,213-933-0358,?,?
666,hollywood hills coffee shop,6145 franklin ave.,hollywood,213-467-7678,?,?
667,indo cafe,10428 1/2 national blvd.,la,310-815-1290,?,?
668,jan's family restaurant,8424 beverly blvd.,?,213-651-2866,?,?
669,jiraffe,502 santa monica blvd,santa monica,?,?,558
670,jody maroni's sausage kingdom,2011 ocean front walk,venice,310-306-1995,hot dogs,?
671,joe's,1023 abbot kinney blvd.,?,?,?,560
672,john o'groats,10516 w. pico blvd.,west la,?,coffee shops,?
673,johnnie's pastrami,4017 s. sepulveda blvd.,culver city,310-397-6654,?,?
674,johnny reb's southern smokehouse,4663 long beach blvd.,long beach,310-423-7327,southern/soul,?
675,johnny rockets (la),7507 melrose ave.,?,213-651-3361,american,564
676,killer shrimp,4000 colfax ave.,?,818-508-1570,?,565
677,kokomo cafe,6333 w. third st.,?,213-933-0773,?,?
678,koo koo roo,8393 w. beverly blvd.,?,?,chicken,?
679,la cachette,10506 little santa monica blvd.,?,310-470-4992,?,?
680,la salsa (la),22800 pch,?,310-456-6299,mexican,569
681,la serenata de garibaldi,1842 e. first,?,?,?,?
682,langer's,704 s. alvarado st.,?,?,?,?
683,local nochol,30869 thousand oaks blvd.,westlake village,?,health food,572
684,main course  the,10509 w. pico blvd.,rancho park,310-475-7564,?,?
685,mani's bakery & espresso bar,519 s. fairfax ave.,?,213-938-8800,?,?
686,martha's,22nd street grill 25 22nd,?,310-376-7786,american,575
687,maxwell's cafe,13329 washington blvd.,?,?,?,?
688,michael's (los angeles),1147 third st.,?,310-451-0843,?,?
689,mishima,8474 w. third st.,?,213-782-0181,noodle shops,?
690,mo better meatty meat,7261 melrose ave.,?,?,?,579
691,mulberry st.,17040 ventura blvd.,?,?,?,?
692,ocean park cafe,3117 ocean park blvd.,santa monica,?,?,581
693,ocean star,145 n. atlantic blvd.,?,818-308-2128,seafood,?
694,original pantry bakery,875 s. figueroa st. downtown,?,?,?,583
695,parkway grill,510 s. arroyo pkwy.,pasadena,?,californian,?
696,pho hoa,642 broadway,?,213-626-5530,vietnamese,?
697,pink's famous chili dogs,709 n. la brea ave.,?,213-931-4223,?,586
698,poquito mas,2635 w. olive ave.,?,?,?,?
699,r-23,923 e. third st.,?,?,?,588
700,rae's,2901 pico blvd.,?,310-828-7937,diners,589
701,rubin's red hots,15322 ventura blvd.,encino,?,hot dogs,?
702,ruby's (la),45 s. fair oaks ave.,?,?,?,591
703,russell's burgers,1198 pch,?,?,hamburgers,?
704,ruth's chris steak house (los angeles),224 s. beverly dr.,beverly hills,?,steakhouses,?
705,shiro,1505 mission st. s.,?,?,?,?
706,sushi nozawa,11288 ventura blvd.,studio city,?,japanese,?
707,sweet lady jane,8360 melrose ave.,la,213-653-7145,desserts,?
708,taiko,11677 san vicente blvd.,?,310-207-7782,noodle shops,597
709,tommy's,2575 beverly blvd.,la,?,hamburgers,598
710,uncle bill's pancake house,1305 highland ave.,manhattan beach,310-545-5177,?,?
711,water grill,544 s. grand ave.,?,?,seafood,600
712,zankou chicken,1415 e. colorado st.,glendale,?,middle eastern,?
713,afghan kebab house,764 ninth ave.,?,?,?,?
714,arcadia,21 e. 62nd st.,new york city,212-223-2900,?,603
715,benny's burritos,93 ave. a,?,?,?,?
716,cafe con leche,424 amsterdam ave.,new york city,?,cuban,605
717,corner bistro,331 w. fourth st.,new york city,212-242-9502,hamburgers,?
718,cucina della fontana,368 bleecker st.,?,212-242-0636,italian,?
719,cucina di pesce,87 e. fourth st.,?,?,?,?
720,darbar,44 w. 56th st.,?,?,?,?
721,ej's luncheonette,432 sixth ave.,new york city,212-473-5555,diners,?
722,edison cafe,228 w. 47th st.,?,?,diners,?
723,elias corner,24-02 31st st.,?,?,greek,?
724,good enough to eat,483 amsterdam ave.,?,?,?,?
725,gray's papaya,2090 broadway,?,212-799-0243,hot dogs,614
726,il mulino,86 w. third st.,?,?,?,?
727,jackson diner,37-03 74th st.,?,?,indian,?
728,joe's shanghai,9 pell st.,queens,718-539-3838,chinese,617
729,john's pizzeria,48 w. 65th st.,?,212-721-7001,?,618
730,kelley & ping,127 greene st.,?,?,?,?
731,kiev,117 second ave.,new york city,212-674-4040,?,?
732,kuruma zushi,2nd fl.,?,212-317-2802,japanese,621
733,la caridad,2199 broadway,?,?,cuban,?
734,la grenouille,3 e. 52nd st.,?,?,?,623
735,lemongrass grill,61a seventh ave.,?,718-399-7100,?,624
736,lombardi's,32 spring st.,?,?,?,?
737,marnie's noodle shop,466 hudson st.,?,212-741-3214,asian,?
738,menchanko-tei,39 w. 55th st.,new york city,?,japanese,?
739,mitali east-west,296 bleecker st.,?,?,?,?
740,monsoon (ny),435 amsterdam ave.,new york city,?,thai,?
741,moustache,405 atlantic ave.,?,?,middle eastern,?
742,nobu,105 hudson st.,new york city,212-219-0500,japanese,?
743,one if by land  tibs,17 barrow st.,?,212-228-0822,?,?
744,oyster bar,lower level,new york city,?,?,633
745,palm,837 second ave.,?,?,steakhouses,634
746,palm too,840 second ave.,new york city,?,?,635
747,patsy's pizza,19 old fulton st.,?,?,?,636
748,peter luger steak house,178 broadway,brooklyn,718-387-7400,?,?
749,rose of india,308 e. sixth st.,new york city,?,?,638
750,sam's noodle shop,411 third ave.,?,?,chinese,639
751,sarabeth's,1295 madison ave.,?,212-410-7335,?,?
752,sparks steak house,210 e. 46th st.,new york city,?,?,?
753,stick to your ribs,5-16 51st ave.,queens,718-937-3030,?,?
754,sushisay,38 e. 51st st.,?,212-755-1780,japanese,?
755,sylvia's,328 lenox ave.,?,212-996-0660,?,?
756,szechuan hunan cottage,1588 york ave.,new york city,?,chinese,645
757,szechuan kitchen,1460 first ave.,?,?,chinese,?
758,teresa's,80 montague st.,queens,718-520-2910,?,647
759,thai house cafe,151 hudson st.,?,212-334-1085,?,?
760,thailand restaurant,106 bayard st.,?,?,thai,649
761,veselka,144 second ave.,new york city,?,ukrainian,650
762,westside cottage,689 ninth ave.,new york city,212-245-0800,chinese,651
763,windows on the world,107th fl.,?,?,?,652
764,wollensky's grill,205 e. 49th st.,?,212-753-0444,?,653
765,yama,122 e. 17th st.,?,212-475-0969,?,?
766,zarela,953 second ave.,new york city,212-644-6740,mexican,655
767,andre's french restaurant,401 s. 6th st.,las vegas,?,?,?
768,buccaneer bay club,3300 las vegas blvd. s.,las vegas,?,?,?
769,buzio's in the rio,3700 w. flamingo rd.,?,702-252-7697,?,658
770,emeril's new orleans fish house,3799 las vegas blvd. s.,?,?,?,659
771,fiore rotisserie & grille,3700 w. flamingo rd.,las vegas,?,?,660
772,hugo's cellar,202 e. fremont st.,?,?,?,?
773,madame ching's,3300 las vegas blvd. s.,las vegas,702-894-7111,asian,?
774,mayflower cuisinier,4750 w. sahara ave.,?,?,?,663
775,michael's (las vegas),3595 las vegas blvd. s.,?,?,?,?
776,monte carlo,3145 las vegas blvd. s.,las vegas,?,french (new),?
777,moongate,3400 las vegas blvd. s.,las vegas,?,?,666
778,morton's of chicago (las vegas),3200 las vegas blvd. s.,?,702-893-0703,?,?
779,nicky blair's,3925 paradise rd.,?,?,?,668
780,piero's restaurant,355 convention center dr.,las vegas,702-369-2305,?,?
781,spago (las vegas),3500 las vegas blvd. s.,?,702-369-6300,?,?
782,steakhouse  the,128 e. fremont st.,?,?,?,?
783,stefano's,129 fremont st.,?,?,?,672
784,sterling brunch,3645 las vegas blvd. s.,las vegas,?,eclectic,673
785,tre visi,3799 las vegas blvd. s.,?,702-891-7331,?,?
786,103 west,103 w. paces ferry rd.,?,404-233-5993,?,?
787,alon's at the terrace,659 peachtree st.,atlanta,?,?,?
788,baker's cajun cafe,1134 euclid ave.,?,404-223-5039,?,677
789,barbecue kitchen,1437 virginia ave.,?,404-766-9906,?,678
790,bistro  the,56 e. andrews dr. nw,?,?,?,679
791,bobby & june's kountry kitchen,375 14th st.,?,?,southern/soul,?
792,bradshaw's restaurant,2911 s. pharr court,atlanta,?,?,681
793,brookhaven cafe,4274 peachtree rd.,atlanta,?,?,682
794,cafe sunflower,5975 roswell rd.,?,?,?,?
795,canoe,4199 paces ferry rd.,?,770-432-2663,american (new),?
796,carey's,1021 cobb pkwy. se,?,770-422-8042,?,685
797,carey's corner,1215 powers ferry rd.,?,770-933-0909,?,?
798,chops,70 w. paces ferry rd.,atlanta,404-262-2675,?,?
799,chopstix,4279 roswell rd.,atlanta,404-255-4868,chinese,?
800,deacon burton's soulfood restaurant,1029 edgewood ave. se,?,404-523-1929,?,689
801,eats,600 ponce de leon ave.,atlanta,404-888-9149,italian,?
802,flying biscuit  the,1655 mclendon ave.,?,?,?,691
803,frijoleros,1031 peachtree st. ne,?,404-892-8226,tex-mex,?
804,greenwood's,1087 green st.,?,770-992-5383,?,?
805,harold's barbecue,171 mcdonough blvd.,?,404-627-9268,?,694
806,havana sandwich shop,2905 buford hwy.,?,404-636-4094,?,695
807,house of chan,2469 cobb pkwy.,?,?,?,?
808,indian delights,3675 satellite blvd.,duluth,?,?,?
809,java jive,790 ponce de leon ave.,?,404-876-6161,?,698
810,johnny rockets (at),2970 cobb pkwy.,atlanta,770-955-6068,?,?
811,kalo's coffee house,1248 clairmont rd.,decatur,?,coffeehouses,?
812,la fonda latina,4427 roswell rd.,?,404-303-8201,spanish,?
813,lettuce souprise you (at),3525 mall blvd.,duluth,?,?,702
814,majestic,1031 ponce de leon ave.,?,404-875-0276,diners,?
815,morton's of chicago (atlanta),303 peachtree st. ne,atlanta,404-577-4366,?,?
816,my thai,1248 clairmont rd.,atlanta,404-636-4280,?,705
817,nava,3060 peachtree rd.,atlanta,?,southwestern,706
818,nuevo laredo cantina,1495 chattahoochee ave. nw,atlanta,?,mexican,707
819,original pancake house (at),4330 peachtree rd.,atlanta,?,american,708
820,palm  the (atlanta),3391 peachtree rd. ne,?,?,?,709
821,rainbow restaurant,2118 n. decatur rd.,decatur,404-633-3538,?,710
822,ritz-carlton cafe (atlanta),181 peachtree st.,?,?,?,?
823,riviera,519 e. paces ferry rd.,?,404-262-7112,?,712
824,silver skillet  the,200 14th st. nw,?,404-874-1388,?,?
825,soto,3330 piedmont rd.,?,?,?,714
826,thelma's kitchen,764 marietta st. nw,atlanta,?,?,715
827,tortillas,774 ponce de leon ave. ne,atlanta,404-892-0193,tex-mex,?
828,van gogh's restaurant & bar,70 w. crossville rd.,?,?,?,717
829,veggieland,220 sandy springs circle,?,404-231-3111,vegetarian,718
830,white house restaurant,3172 peachtree rd. ne,atlanta,404-237-7601,diners,?
831,zab-e-lee,4837 old national hwy.,?,404-768-2705,?,?
832,bill's place,2315 clement st.,?,?,?,721
833,cafe flore,2298 market st.,?,415-621-8579,?,?
834,caffe greco,423 columbus ave.,?,415-397-6261,continental,723
835,campo santo,240 columbus ave.,san francisco,415-433-9623,?,?
836,cha cha cha's,1805 haight st.,?,415-386-5758,?,725
837,doidge's,2217 union st.,?,?,american,?
838,dottie's true blue cafe,522 jones st.,san francisco,?,?,727
839,dusit thai,3221 mission st.,san francisco,?,?,?
840,ebisu,1283 ninth ave.,san francisco,?,japanese,?
841,emerald garden restaurant,1550 california st.,?,415-673-1155,vietnamese,?
842,eric's chinese restaurant,1500 church st.,?,415-282-0919,?,?
843,hamburger mary's,1582 folsom st.,san francisco,415-626-1985,?,?
844,kelly's on trinity,333 bush st.,san francisco,?,?,733
845,la cumbre,515 valencia st.,?,415-863-8205,?,734
846,la mediterranee,288 noe st.,?,415-431-7210,mediterranean,735
847,la taqueria,2889 mission st.,san francisco,?,?,?
848,mario's bohemian cigar store cafe,2209 polk st.,san francisco,?,italian,737
849,marnee thai,2225 irving st.,?,415-665-9500,thai,?
850,mel's drive-in,3355 geary st.,?,?,hamburgers,739
851,mo's burgers,1322 grant st.,?,?,hamburgers,740
852,phnom penh cambodian restaurant,631 larkin st.,?,?,?,?
853,roosevelt tamale parlor,2817 24th st.,?,415-550-9213,mexican,742
854,sally's cafe & bakery,300 de haro st.,?,?,american,?
855,san francisco bbq,1328 18th st.,?,?,?,744
856,slanted door,584 valencia st.,san francisco,415-861-8032,?,745
857,swan oyster depot,1517 polk st.,san francisco,415-673-1101,?,?
858,thep phanom,400 waller st.,san francisco,?,?,?
859,ti couz,3108 16th st.,san francisco,415-252-7373,french,?
860,trio cafe,1870 fillmore st.,?,?,american,?
861,tu lan,8 sixth st.,san francisco,?,?,750
862,vicolo pizzeria,201 ivy st.,?,415-863-2382,?,751
863,wa-ha-ka oaxaca mexican grill,2141 polk st.,?,?,mexican,752
