,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class
602,x,o,b,b,x,b,x,o,b,negative
603,o,x,x,x,o,b,o,o,b,positive
604,x,o,x,x,x,x,x,b,o,positive
605,b,x,x,o,b,x,x,x,x,positive
606,o,x,o,o,x,b,x,x,b,positive
607,x,o,o,o,x,b,x,x,x,positive
608,o,b,x,x,b,x,o,b,x,positive
609,o,x,b,o,o,x,o,b,x,positive
610,x,o,b,x,x,o,x,b,b,positive
611,x,b,o,x,b,b,b,b,o,positive
612,x,x,o,o,o,o,o,b,o,negative
613,o,o,o,x,o,o,b,x,x,negative
614,o,o,o,b,o,b,x,x,b,negative
615,x,x,o,b,o,o,b,x,b,negative
616,o,x,o,b,x,x,x,x,x,positive
617,x,b,o,x,b,o,x,b,b,positive
618,x,x,x,o,x,o,b,o,b,positive
619,o,x,b,x,o,x,o,x,o,negative
620,b,b,o,o,o,x,x,x,b,positive
621,x,o,o,x,x,x,b,x,o,positive
622,b,b,x,x,o,b,o,o,o,negative
623,x,o,b,b,o,x,b,o,x,negative
624,o,x,o,b,x,o,o,x,o,positive
625,x,o,o,o,x,x,o,x,o,positive
626,o,b,x,x,o,o,o,o,o,positive
627,x,x,o,b,o,x,o,b,o,negative
628,x,b,o,b,x,o,x,x,x,positive
629,x,x,x,b,x,o,o,x,x,positive
630,x,b,x,b,o,o,o,b,x,positive
631,o,b,x,x,o,b,o,o,x,negative
632,o,x,b,b,b,b,o,x,b,positive
633,x,o,o,x,x,b,x,o,b,positive
634,b,x,x,o,b,x,o,x,x,positive
635,x,x,o,x,x,o,x,x,b,positive
636,x,x,b,x,x,x,x,b,o,positive
637,o,o,b,x,x,x,x,x,o,positive
638,x,b,x,x,o,x,o,x,b,negative
639,o,x,x,x,x,x,o,x,o,positive
640,o,o,o,x,b,o,o,b,b,positive
641,b,o,x,b,x,b,x,o,x,positive
642,x,b,o,b,o,b,b,x,x,negative
643,x,o,o,b,x,o,x,o,x,positive
644,o,o,o,x,o,x,x,b,x,negative
645,x,o,b,b,x,b,x,o,x,positive
646,b,x,o,b,x,x,o,b,o,negative
647,x,o,x,b,o,b,x,o,x,negative
648,x,o,x,x,x,o,x,o,o,negative
649,x,x,x,o,x,x,b,b,o,positive
650,x,b,o,x,x,o,x,b,o,positive
651,b,x,o,b,o,x,o,x,o,negative
652,b,o,x,x,x,b,b,o,x,negative
653,b,o,b,x,x,x,o,o,b,positive
654,b,x,x,o,x,o,o,x,o,positive
655,x,x,x,o,x,o,o,o,b,positive
656,b,x,b,o,o,x,x,x,o,positive
657,o,x,o,x,o,x,o,o,o,negative
658,x,x,o,b,o,b,o,b,o,negative
659,b,o,x,o,x,x,b,o,x,positive
660,x,o,x,o,x,o,x,b,x,positive
661,x,x,b,o,x,o,o,x,x,positive
662,b,o,o,b,b,o,o,x,b,positive
663,x,b,x,o,x,b,x,o,x,positive
664,x,o,o,o,x,o,x,x,x,positive
665,x,o,x,b,x,b,x,b,x,positive
666,x,x,x,o,x,o,x,o,x,positive
667,x,o,o,x,b,o,x,b,x,positive
668,b,x,x,b,x,o,x,x,b,positive
669,x,o,b,x,b,o,x,o,x,negative
670,b,x,x,b,x,b,x,b,o,positive
671,b,o,x,b,b,x,b,o,x,positive
672,o,b,o,b,o,x,o,b,o,negative
673,o,b,x,b,x,x,o,b,x,negative
674,o,o,x,o,o,o,x,x,x,negative
675,o,x,x,o,x,o,o,b,o,positive
676,o,o,x,o,x,x,o,o,x,positive
677,b,o,b,b,x,o,b,x,x,positive
678,o,x,x,b,o,x,b,o,o,positive
679,o,o,x,b,o,b,x,b,x,positive
680,x,b,x,b,x,o,x,b,o,positive
681,b,o,o,x,x,x,o,b,o,positive
682,b,x,x,b,x,o,b,o,o,negative
683,x,x,b,b,x,o,x,b,b,positive
684,b,b,o,x,x,o,x,x,x,positive
685,x,x,o,x,o,x,o,b,o,negative
686,o,o,b,b,x,o,x,x,o,positive
687,o,o,x,x,x,x,b,o,b,positive
688,b,x,x,o,o,b,b,x,o,positive
689,o,b,x,x,o,b,o,o,o,negative
690,o,o,x,o,x,x,o,x,x,positive
691,o,o,x,o,x,x,o,o,x,positive
692,x,b,x,x,o,o,x,b,x,positive
693,o,x,b,x,x,x,o,o,b,positive
694,x,b,o,b,o,b,o,x,o,negative
695,o,b,x,x,o,b,o,x,x,negative
696,x,x,x,o,x,o,b,o,x,positive
697,o,o,o,b,b,x,x,x,x,negative
698,x,o,b,o,x,b,x,o,o,positive
699,o,o,o,x,o,x,x,x,o,positive
700,o,o,o,x,x,x,b,b,o,positive
701,x,o,o,x,o,o,x,b,x,negative
702,o,b,o,x,x,x,o,x,x,positive
703,x,x,x,x,b,o,o,o,o,positive
704,b,o,x,o,x,b,x,b,o,positive
705,o,b,x,o,x,o,x,x,x,positive
706,o,b,o,b,o,o,x,x,x,positive
707,x,b,o,o,x,o,x,x,o,positive
708,o,o,x,o,b,x,o,o,x,positive
709,x,o,b,b,b,o,b,x,o,positive
710,o,b,x,b,x,b,x,x,x,positive
711,x,x,o,x,o,x,b,x,o,negative
712,b,x,b,x,x,x,o,x,x,positive
713,x,x,o,o,x,x,o,o,x,negative
714,b,x,o,b,x,o,o,x,b,positive
715,x,o,o,o,x,x,b,b,b,negative
716,o,o,b,x,o,o,x,o,x,positive
717,o,o,x,b,b,x,b,x,x,positive
718,x,b,o,x,o,o,x,o,o,positive
719,x,o,x,b,x,o,x,b,b,positive
720,o,o,x,x,x,x,o,b,b,positive
721,o,b,x,o,b,x,o,o,x,positive
722,o,o,o,b,x,x,x,x,x,negative
723,x,b,b,o,x,b,x,x,x,positive
724,x,o,x,x,x,o,o,o,o,positive
725,o,o,b,o,o,o,b,x,b,negative
726,x,x,o,x,x,x,b,o,x,positive
727,o,x,x,x,x,o,o,o,b,positive
728,b,b,b,x,b,x,x,o,b,positive
729,o,x,x,o,o,o,x,x,x,negative
730,o,b,x,o,x,o,x,b,b,positive
731,b,o,o,x,b,x,x,o,x,negative
732,x,o,o,x,x,x,b,x,o,positive
733,b,x,x,o,o,x,b,b,o,positive
734,o,x,x,x,o,x,b,o,b,positive
735,o,x,o,x,x,o,x,b,o,negative
736,x,b,x,x,x,b,o,o,o,negative
737,x,o,x,b,b,b,x,o,x,positive
738,x,b,b,x,x,x,o,o,o,positive
739,o,b,o,x,x,b,b,o,b,positive
740,x,b,x,o,b,o,x,b,x,positive
741,x,o,o,o,o,o,x,x,b,negative
742,x,b,o,x,x,b,x,o,b,positive
743,x,x,o,x,x,b,o,b,o,positive
744,o,b,b,x,x,x,b,x,x,positive
745,b,o,b,x,o,x,x,o,x,negative
746,x,o,o,b,x,o,x,o,o,positive
747,o,b,x,b,x,x,x,b,x,positive
748,o,o,x,o,x,x,b,x,x,positive
749,x,b,o,o,x,b,o,o,x,positive
750,o,x,b,o,x,o,x,x,b,positive
751,o,x,x,x,o,x,o,b,b,negative
752,o,x,x,b,o,x,b,b,x,positive
753,x,o,o,b,o,x,b,x,x,negative
754,o,x,o,o,o,x,o,x,x,negative
755,x,b,x,x,o,b,b,o,o,negative
756,x,o,x,x,b,x,x,o,o,negative
757,o,o,o,o,x,b,b,x,x,positive
758,x,o,o,x,x,x,b,x,o,positive
759,b,x,o,x,x,x,o,x,o,positive
760,o,o,b,x,x,x,o,b,o,positive
761,o,b,b,x,o,b,x,x,o,positive
762,o,o,x,b,x,x,o,b,x,positive
763,o,x,x,o,x,b,o,x,b,negative
764,o,x,o,o,x,x,o,x,o,positive
765,o,o,o,x,b,o,b,x,x,negative
766,o,o,b,x,x,x,x,o,x,positive
767,x,x,o,x,o,x,b,x,o,negative
768,o,x,x,b,x,x,b,x,b,positive
769,x,x,x,b,x,b,o,o,o,positive
770,x,o,x,x,b,x,b,o,o,negative
771,x,o,b,o,o,o,o,o,o,negative
772,x,b,x,o,x,o,o,x,x,positive
773,o,o,b,o,b,o,x,o,b,positive
774,x,x,o,o,o,o,b,x,x,negative
775,b,b,o,b,b,o,b,x,x,positive
776,x,o,b,o,x,x,b,o,x,positive
777,o,b,o,x,o,o,x,o,b,positive
778,o,x,x,x,x,b,x,b,o,positive
779,o,b,x,o,x,x,x,b,b,negative
780,b,o,o,x,x,o,x,x,x,positive
781,o,x,o,x,o,x,x,x,o,negative
782,b,x,b,x,x,x,o,o,b,positive
783,o,o,x,b,x,x,b,x,o,positive
784,o,o,x,b,x,o,x,o,b,positive
785,o,b,o,x,o,x,o,x,o,negative
786,o,x,b,b,x,b,o,x,x,negative
787,o,b,o,o,b,b,o,o,o,negative
788,x,o,o,b,b,o,b,x,o,negative
789,o,o,b,o,x,x,o,x,x,positive
790,x,b,o,x,x,o,x,o,b,positive
791,x,x,o,x,b,b,o,o,o,positive
792,x,o,o,x,o,o,x,o,x,negative
793,x,b,b,x,b,x,x,o,o,positive
794,b,x,x,x,o,x,o,o,o,negative
795,o,o,x,x,x,x,o,o,o,positive
796,b,b,x,o,b,x,b,o,x,positive
797,x,o,o,x,x,o,b,x,x,negative
798,x,o,x,b,o,b,b,o,x,positive
799,x,o,x,o,o,x,b,x,o,positive
800,o,x,o,b,x,x,o,x,o,negative
801,x,o,b,x,x,x,b,b,o,positive
802,x,x,b,b,b,o,x,o,o,positive
803,b,x,x,o,x,b,o,o,x,negative
804,x,b,x,o,x,b,x,o,x,positive
805,b,x,b,o,o,o,o,b,x,negative
806,x,b,b,x,x,x,o,o,o,positive
807,b,b,b,x,x,b,b,o,x,negative
808,o,x,o,x,b,b,o,o,o,negative
809,o,x,o,o,o,x,o,b,x,negative
810,b,x,o,x,b,b,x,o,o,positive
811,o,x,x,b,x,x,o,o,o,negative
812,o,o,o,x,x,o,x,b,o,positive
813,x,x,o,x,b,b,o,x,o,negative
814,o,b,o,o,x,o,x,x,x,positive
815,x,x,b,o,b,o,x,o,o,positive
816,b,b,b,o,x,o,x,x,x,positive
817,b,b,o,b,o,b,o,x,o,negative
818,x,x,b,o,o,x,x,b,x,positive
819,x,b,x,o,x,o,b,o,o,positive
820,x,o,x,o,x,o,b,o,x,negative
821,x,b,o,x,o,b,o,x,b,negative
822,x,b,o,o,b,o,x,x,x,positive
823,x,o,o,x,b,o,x,o,x,positive
824,o,x,b,x,o,x,x,b,o,negative
825,o,b,x,o,x,x,o,b,b,negative
826,o,x,o,o,o,x,o,x,x,negative
827,b,x,b,x,x,x,b,o,b,positive
828,o,o,x,o,x,x,x,o,x,positive
829,o,x,o,o,b,x,x,x,x,negative
830,o,o,o,x,x,x,x,o,b,positive
831,x,x,o,o,o,b,x,x,b,positive
832,b,o,b,x,x,x,x,b,x,positive
833,b,o,x,x,o,x,b,o,o,positive
834,o,x,b,x,o,o,x,b,o,negative
835,o,x,x,o,b,x,b,o,x,positive
836,x,x,b,x,x,b,o,b,o,positive
837,b,b,b,x,o,x,x,o,o,positive
838,o,x,x,x,o,o,x,o,x,negative
839,x,b,b,x,o,b,x,o,o,positive
840,x,x,x,b,o,b,x,b,o,positive
841,o,b,x,b,x,b,x,o,x,positive
842,b,x,x,b,b,x,b,b,b,positive
843,b,o,o,x,o,o,b,x,o,negative
844,o,x,x,b,o,x,o,o,b,positive
845,o,b,o,b,x,x,o,x,x,positive
846,x,o,b,b,x,x,b,x,x,positive
847,b,x,x,o,o,o,x,x,o,negative
848,o,b,x,b,b,x,o,o,o,negative
849,b,x,x,b,x,b,o,x,b,positive
850,o,x,b,o,x,b,o,o,x,negative
851,x,b,x,o,x,o,x,o,b,positive
852,o,x,o,x,x,x,x,x,o,positive
853,x,x,x,o,o,o,b,x,o,negative
854,x,o,x,o,x,o,b,x,o,negative
855,o,b,x,o,o,x,o,b,x,positive
856,x,x,x,o,x,b,b,b,b,positive
857,x,o,x,o,o,x,b,o,x,positive
858,o,x,b,b,x,b,o,o,o,positive
859,b,b,o,b,x,o,x,x,x,positive
860,o,x,x,o,o,x,o,x,o,positive
861,o,x,b,o,x,o,b,x,b,positive
862,o,o,o,b,o,x,x,x,x,positive
863,o,x,o,o,o,o,o,o,o,negative
864,b,o,x,b,x,b,b,b,x,positive
865,o,x,x,o,x,o,b,x,x,positive
866,x,o,o,x,o,x,x,o,o,negative
867,o,o,x,o,x,x,o,x,x,positive
868,b,o,o,o,o,o,x,b,x,negative
869,x,o,x,b,b,o,x,o,x,positive
870,o,o,o,x,x,x,o,o,b,positive
871,x,x,x,b,x,b,b,b,x,positive
872,b,x,x,b,x,o,o,b,b,positive
873,x,b,x,b,b,b,x,b,x,positive
874,o,b,x,o,x,b,o,b,x,positive
875,x,x,b,x,x,o,b,o,x,positive
876,x,b,o,o,x,o,x,x,x,positive
877,x,b,o,o,x,b,x,o,o,positive
878,x,b,x,b,x,b,o,x,o,positive
879,o,x,x,b,x,x,b,o,b,positive
880,b,x,x,x,x,o,o,o,o,negative
881,o,x,o,o,x,x,o,b,b,negative
882,o,x,x,x,o,o,x,o,o,negative
883,o,o,x,x,o,x,x,x,o,negative
884,x,b,x,o,b,o,x,b,x,positive
885,o,x,b,o,x,b,b,x,x,positive
886,b,x,o,o,o,o,x,x,o,negative
887,o,b,x,o,x,o,x,x,x,positive
888,b,o,o,x,o,x,x,x,b,negative
889,o,x,o,x,o,o,x,x,o,negative
890,b,o,x,o,o,x,x,o,x,positive
891,x,o,x,x,o,b,b,o,x,negative
892,x,b,x,x,x,o,b,o,x,positive
893,x,b,b,b,b,o,o,b,x,positive
894,o,x,x,o,o,x,x,x,b,negative
895,b,x,o,b,x,o,b,x,o,positive
896,b,o,x,b,x,x,o,b,b,positive
897,o,o,x,b,b,x,x,b,x,positive
898,o,x,x,o,x,x,o,o,x,positive
899,b,x,o,o,x,b,b,x,b,positive
900,x,x,o,x,x,x,b,x,x,positive
901,b,b,x,b,o,b,x,b,x,positive
902,o,x,x,x,x,o,b,o,x,negative
903,o,x,o,x,x,b,o,b,o,negative
904,b,b,x,o,x,o,x,x,x,positive
905,x,o,b,o,x,o,x,x,x,positive
906,x,b,x,b,x,o,o,o,x,positive
907,x,o,x,b,o,b,x,b,b,positive
908,x,o,b,b,x,o,x,o,x,positive
909,o,o,o,x,x,b,b,b,b,negative
910,x,x,x,o,x,o,x,o,b,positive
911,x,x,o,x,b,o,o,b,o,positive
912,x,x,x,o,x,b,x,o,b,positive
913,x,x,o,x,o,x,o,o,b,negative
914,o,x,o,x,x,x,o,o,o,positive
915,o,o,o,x,o,x,x,x,o,negative
916,x,b,o,o,o,x,b,x,x,positive
917,x,o,o,x,x,o,b,x,o,positive
918,b,b,x,x,x,x,o,b,b,positive
919,o,o,o,x,o,x,x,x,b,negative
920,b,b,o,b,o,b,o,b,o,negative
921,o,x,o,b,b,x,o,o,x,negative
922,o,b,o,x,x,o,x,x,o,negative
923,o,o,x,x,o,o,x,b,o,positive
924,o,b,o,x,o,x,x,b,x,negative
925,o,x,x,b,x,x,o,o,x,positive
926,o,x,x,o,o,x,o,b,x,positive
927,x,x,x,b,x,o,b,b,x,positive
928,x,o,o,b,b,b,x,o,x,positive
929,o,b,x,b,o,x,o,b,x,positive
930,x,x,o,b,o,b,o,x,o,negative
931,x,o,b,x,x,b,x,o,b,negative
932,x,x,b,o,o,x,b,o,x,negative
933,b,x,x,o,o,x,o,x,o,positive
934,o,x,x,b,x,o,x,o,o,positive
935,o,b,o,o,x,x,o,o,b,negative
936,o,o,x,o,x,o,x,b,x,positive
937,b,o,x,o,x,b,x,o,x,positive
938,o,b,o,b,x,x,b,x,o,negative
939,o,b,o,x,x,x,o,x,b,positive
940,b,o,o,o,b,o,x,x,x,positive
941,o,o,b,x,b,x,x,x,o,positive
942,x,o,x,b,x,o,x,o,x,positive
943,o,b,o,b,o,b,o,x,x,negative
944,o,x,b,x,b,o,x,x,o,positive
945,o,x,b,x,o,b,o,x,b,negative
946,b,o,o,x,o,x,o,b,x,positive
947,o,b,x,x,x,b,x,o,b,positive
948,x,b,b,x,o,x,o,o,o,negative
949,o,o,o,x,o,o,b,x,o,positive
950,x,b,b,x,x,o,x,o,o,positive
951,x,x,o,o,o,x,b,x,o,positive
952,b,b,x,o,x,b,b,b,x,positive
953,b,o,b,b,b,x,x,x,x,positive
954,x,o,b,x,o,x,b,o,b,positive
955,x,o,x,x,x,o,b,o,x,positive
956,x,x,x,x,o,x,o,o,o,negative
957,o,o,b,x,b,x,o,x,x,positive
958,o,x,x,x,o,o,b,x,o,negative
959,x,x,x,o,x,b,o,o,x,positive
960,x,o,b,x,x,o,x,o,x,positive
961,o,x,x,o,x,o,x,b,b,positive
962,x,x,b,o,o,x,x,o,o,positive
963,x,b,x,b,o,o,b,o,x,negative
964,o,x,x,o,x,x,o,b,o,positive
965,b,o,o,x,o,o,x,o,o,positive
966,x,o,b,o,b,o,x,o,x,positive
967,b,x,x,o,x,x,o,x,x,negative
968,x,x,x,x,o,b,b,o,o,negative
969,x,b,o,x,o,b,o,o,b,negative
970,o,x,o,o,x,x,o,x,b,positive
971,o,o,x,o,x,x,b,x,x,positive
972,x,o,b,x,x,x,b,o,x,positive
973,o,b,b,b,o,b,o,x,o,positive
974,x,b,x,o,x,o,x,o,o,positive
975,o,o,b,o,x,b,x,x,x,positive
976,o,x,o,x,x,x,x,o,o,positive
977,o,x,x,x,o,b,o,b,o,negative
978,x,x,x,o,x,x,b,o,b,negative
979,x,b,x,o,b,x,o,x,x,negative
980,x,x,o,x,x,b,b,o,o,negative
981,x,x,x,o,x,o,o,b,x,positive
982,x,b,x,b,o,o,b,o,x,positive
983,b,x,x,o,o,x,b,b,x,positive
984,o,x,x,x,o,x,o,b,o,negative
985,x,o,o,x,o,x,o,o,x,negative
986,o,x,b,o,x,o,b,x,b,positive
987,b,o,x,o,o,x,b,b,x,positive
988,x,b,o,x,o,b,x,o,o,positive
989,x,x,o,x,o,o,o,b,x,negative
990,x,x,b,x,o,o,x,b,o,positive
991,o,o,b,b,o,x,b,x,x,positive
992,b,o,b,x,x,o,b,o,x,negative
993,o,b,x,x,x,x,o,x,o,positive
994,o,x,b,x,x,b,x,x,b,negative
995,x,x,o,o,x,o,b,b,o,positive
996,o,o,o,x,x,x,b,x,o,positive
997,o,o,b,b,b,b,x,x,x,positive
998,b,b,o,o,o,x,x,x,o,positive
999,b,x,o,x,o,x,x,x,b,positive
