,Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
343,Ford Mustang Cobra,23.6,4,140.0,0.0,2905.0,14.3,80,US
344,Honda Accord,32.4,4,107.0,72.0,2290.0,17.0,80,Japan
345,Plymouth Reliant,27.2,4,135.0,84.0,2490.0,15.7,81,US
346,Buick Skylark,26.6,4,151.0,84.0,2635.0,16.4,81,US
347,Dodge Aries Wagon (sw),25.8,4,156.0,92.0,2620.0,14.4,81,US
348,Chevrolet Citation,23.5,6,173.0,110.0,2725.0,12.6,81,US
349,Plymouth Reliant,30.0,4,135.0,84.0,2385.0,12.9,81,US
350,Toyota Starlet,39.1,4,79.0,58.0,1755.0,16.9,81,Japan
351,Plymouth Champ,39.0,4,86.0,64.0,1875.0,16.4,81,US
352,Honda Civic 1300,35.1,4,81.0,60.0,1760.0,16.1,81,Japan
353,Subaru,32.3,4,97.0,67.0,2065.0,17.8,81,Japan
354,Datsun 210 MPG,37.0,4,85.0,65.0,1975.0,19.4,81,Japan
355,Toyota Tercel,37.7,4,89.0,62.0,2050.0,17.3,81,Japan
356,Mazda GLC 4,34.1,4,91.0,68.0,1985.0,16.0,81,Japan
357,Plymouth Horizon 4,34.7,4,105.0,63.0,2215.0,14.9,81,US
358,Ford Escort 4W,34.4,4,98.0,65.0,2045.0,16.2,81,US
359,Ford Escort 2H,29.9,4,98.0,65.0,2380.0,20.7,81,US
360,Volkswagen Jetta,33.0,4,105.0,74.0,2190.0,14.2,81,Europe
361,Renault 18i,34.5,4,100.0,0.0,2320.0,15.8,81,Europe
362,Honda Prelude,33.7,4,107.0,75.0,2210.0,14.4,81,Japan
363,Toyota Corolla,32.4,4,108.0,75.0,2350.0,16.8,81,Japan
364,Datsun 200SX,32.9,4,119.0,100.0,2615.0,14.8,81,Japan
365,Mazda 626,31.6,4,120.0,74.0,2635.0,18.3,81,Japan
366,Peugeot 505s Turbo Diesel,28.1,4,141.0,80.0,3230.0,20.4,81,Europe
367,Saab 900s,0.0,4,121.0,110.0,2800.0,15.4,81,Europe
368,Volvo Diesel,30.7,6,145.0,76.0,3160.0,19.6,81,Europe
369,Toyota Cressida,25.4,6,168.0,116.0,2900.0,12.6,81,Japan
370,Datsun 810 Maxima,24.2,6,146.0,120.0,2930.0,13.8,81,Japan
371,Buick Century,22.4,6,231.0,110.0,3415.0,15.8,81,US
372,Oldsmobile Cutlass LS,26.6,8,350.0,105.0,3725.0,19.0,81,US
373,Ford Grenada gl,20.2,6,200.0,88.0,3060.0,17.1,81,US
374,Chrysler Lebaron Salon,17.6,6,225.0,85.0,3465.0,16.6,81,US
375,Chevrolet Cavalier,28.0,4,112.0,88.0,2605.0,19.6,82,US
376,Chevrolet Cavalier Wagon,27.0,4,112.0,88.0,2640.0,18.6,82,US
377,Chevrolet Cavalier 2-door,34.0,4,112.0,88.0,2395.0,18.0,82,US
378,Pontiac J2000 SE Hatchback,31.0,4,112.0,85.0,2575.0,16.2,82,US
379,Dodge Aries SE,29.0,4,135.0,84.0,2525.0,16.0,82,US
380,Pontiac Phoenix,27.0,4,151.0,90.0,2735.0,18.0,82,US
381,Ford Fairmont Futura,24.0,4,140.0,92.0,2865.0,16.4,82,US
382,AMC Concord DL,23.0,4,151.0,0.0,3035.0,20.5,82,US
383,Volkswagen Rabbit l,36.0,4,105.0,74.0,1980.0,15.3,82,Europe
384,Mazda GLC Custom l,37.0,4,91.0,68.0,2025.0,18.2,82,Japan
385,Mazda GLC Custom,31.0,4,91.0,68.0,1970.0,17.6,82,Japan
386,Plymouth Horizon Miser,38.0,4,105.0,63.0,2125.0,14.7,82,US
387,Mercury Lynx l,36.0,4,98.0,70.0,2125.0,17.3,82,US
388,Nissan Stanza XE,36.0,4,120.0,88.0,2160.0,14.5,82,Japan
389,Honda Accord,36.0,4,107.0,75.0,2205.0,14.5,82,Japan
390,Toyota Corolla,34.0,4,108.0,70.0,2245.0,16.9,82,Japan
391,Honda Civic,38.0,4,91.0,67.0,1965.0,15.0,82,Japan
392,Honda Civic (auto),32.0,4,91.0,67.0,1965.0,15.7,82,Japan
393,Datsun 310 GX,38.0,4,91.0,67.0,1995.0,16.2,82,Japan
394,Buick Century Limited,25.0,6,181.0,110.0,2945.0,16.4,82,US
395,Oldsmobile Cutlass Ciera (diesel),38.0,6,262.0,85.0,3015.0,17.0,82,US
396,Chrysler Lebaron Medallion,26.0,4,156.0,92.0,2585.0,14.5,82,US
397,Ford Grenada l,22.0,6,232.0,112.0,2835.0,14.7,82,US
398,Toyota Celica GT,32.0,4,144.0,96.0,2665.0,13.9,82,Japan
399,Dodge Charger 2.2,36.0,4,135.0,84.0,2370.0,13.0,82,US
400,Chevrolet Camaro,27.0,4,151.0,90.0,2950.0,17.3,82,US
401,Ford Mustang GL,27.0,4,140.0,86.0,2790.0,15.6,82,US
402,Volkswagen Pickup,44.0,4,97.0,52.0,2130.0,24.6,82,Europe
403,Dodge Rampage,32.0,4,135.0,84.0,2295.0,11.6,82,US
404,Ford Ranger,28.0,4,120.0,79.0,2625.0,18.6,82,US
405,Chevy S-10,31.0,4,119.0,82.0,2720.0,19.4,82,US
